attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCBK0017,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCBK0017,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCBK0040,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCBK0040,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCBK0048,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCBK0049,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCBK0049,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0013,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0022,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0022,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0026,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0026,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0030,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0030,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0034,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0034,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0042,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0042,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0049,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0049,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0057,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0060,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0074,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0074,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0077,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0078,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0083,10
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0088,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0088,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0089,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0089,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0094,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0094,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0096,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0096,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0097,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0099,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0105,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0105,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0106,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0106,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0107,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0107,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0112,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0113,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0116,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0116,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0120,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0120,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCCR0121,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCCR0121,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCDC0003,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCDC0003,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCDC0049,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCDC0049,0
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013782,69
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013782,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013782,17
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013782,-21
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013782,20
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013782,30
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013782,94
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013782,112
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013880,64
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013880,0
",,7,0700",SN32,2018-01-01T00:00:00,GHCND:USW00013880,94
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00013880,0
",,W,2400",SNWD,2018-01-01T00:00:00,GHCND:USW00013880,0
",,7,0700",SX32,2018-01-01T00:00:00,GHCND:USW00013880,106
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013880,11
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013880,-49
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013880,20
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013880,360
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013880,98
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013880,130
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCBK0017,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCBK0017,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCBK0040,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCBK0040,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCBK0048,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCBK0049,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCBK0049,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0013,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0022,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0022,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0026,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0026,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0030,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0030,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0034,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0034,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0042,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0042,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0049,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0049,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0060,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0069,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0069,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0074,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0074,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0077,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0078,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0078,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0088,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0088,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0089,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0089,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0094,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0094,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0096,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0096,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0097,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0099,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0099,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCCR0105,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCCR0105,0
