,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCCB0008,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCCB0008,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCCB0020,0
3,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCCB0021,0
4,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCCB0021,0
5,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCCB0023,0
6,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCCB0023,0
7,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCCT0006,0
8,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCCT0006,0
9,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0006,0
10,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCGS0006,0
11,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0008,0
12,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCGS0008,0
13,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0009,0
14,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCGS0009,0
15,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCGS0009,0
16,",,N,",WESD,2018-01-01T00:00:00,GHCND:US1NCGS0009,0
17,"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1NCGS0009,0
18,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0021,0
19,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCGS0021,0
20,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0033,0
21,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCGS0033,0
22,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0037,0
23,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCGS0037,0
24,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0044,0
25,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0052,0
26,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0053,0
27,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCGS0054,0
28,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCIR0021,0
29,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCIR0021,0
30,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCMK0034,0
31,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCMK0037,0
