attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1GACS0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1GACS0002,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1GACS0003,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1GACS0003,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1GADD0003,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1GADD0003,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNHL0014,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TNHL0014,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNHL0019,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TNHL0019,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNHL0020,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TNHL0020,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNHL0022,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TNHL0022,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNHL0023,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TNHL0023,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNHL0031,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNHL0036,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TNHL0036,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNHL0043,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TNHL0043,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TNMA0010,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TNMA0010,0
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00091908,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00091908,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00091908,0
