attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALHS0013,3
",,7,",DAPR,2018-01-01T00:00:00,GHCND:USC00012377,2
",,7,",MDPR,2018-01-01T00:00:00,GHCND:USC00012377,76
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00012377,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00012377,0
",,7,",EVAP,2018-01-01T00:00:00,GHCND:USC00013761,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00013761,74
",,7,0700",SN32,2018-01-01T00:00:00,GHCND:USC00013761,22
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00013761,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00013761,0
",,7,0700",SX32,2018-01-01T00:00:00,GHCND:USC00013761,139
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00013761,144
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00013761,-44
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00013761,-28
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013839,56
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013839,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013839,39
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013839,-38
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013839,350
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013839,360
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013839,94
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013839,116
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALHS0013,0
",,7,0900",PRCP,2018-01-02T00:00:00,GHCND:USC00012377,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00012377,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00012377,0
",,7,",EVAP,2018-01-02T00:00:00,GHCND:USC00013761,0
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00013761,0
",,7,0700",SN32,2018-01-02T00:00:00,GHCND:USC00013761,17
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00013761,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00013761,0
",,7,0700",SX32,2018-01-02T00:00:00,GHCND:USC00013761,72
",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00013761,28
",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00013761,-72
",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00013761,-17
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00013839,37
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00013839,0
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00013839,50
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00013839,-66
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00013839,60
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00013839,40
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00013839,72
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00013839,89
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1ALHS0013,0
",,7,0900",PRCP,2018-01-03T00:00:00,GHCND:USC00012377,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00012377,0
",,7,",SNWD,2018-01-03T00:00:00,GHCND:USC00012377,0
",,7,",EVAP,2018-01-03T00:00:00,GHCND:USC00013761,0
",,7,0700",PRCP,2018-01-03T00:00:00,GHCND:USC00013761,0
",,7,0700",SN32,2018-01-03T00:00:00,GHCND:USC00013761,22
