attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNCN0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNCN0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNCN0017,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNCN0017,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MNCN0017,203
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1MNCN0017,279
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MNCN0017,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSL0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSL0002,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSL0005,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSL0005,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MNSL0005,127
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MNSL0005,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSL0006,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSL0006,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSL0018,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSL0018,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MNSL0018,165
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1MNSL0018,231
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MNSL0018,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSL0020,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSL0020,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSL0076,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSL0076,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSL0109,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSL0109,0
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00212250,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00212250,0
",,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00212250,127
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00212250,-167
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00212250,-294
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00212250,-194
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00478349,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00478349,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00478349,102
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00478349,-139
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00478349,-278
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00478349,-172
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014913,53
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014913,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014913,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014913,130
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014913,-244
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014913,-166
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014913,-282
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014913,280
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014913,280
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014913,89
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014913,107
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNCN0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNCN0001,0
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNSL0002,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNSL0002,5
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNSL0005,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNSL0005,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1MNSL0005,127
",,N,",WESF,2018-01-02T00:00:00,GHCND:US1MNSL0005,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNSL0006,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNSL0006,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNSL0018,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNSL0018,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1MNSL0018,165
",,N,",WESF,2018-01-02T00:00:00,GHCND:US1MNSL0018,0
