attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1INVN0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1INVN0002,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1INVN0011,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1INVN0011,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1INWK0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1INWK0002,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1INWK0002,0
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1INWK0002,0
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1INWK0002,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1INWK0014,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1INWK0014,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1INWK0019,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1INWK0019,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1INWK0022,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1INWK0022,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYHS0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYHS0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYHS0004,0
",,7,1800",PRCP,2018-01-01T00:00:00,GHCND:USC00120852,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00120852,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00120852,0
",,7,1800",TMAX,2018-01-01T00:00:00,GHCND:USC00120852,-106
",,7,1800",TMIN,2018-01-01T00:00:00,GHCND:USC00120852,-178
",,7,1800",TOBS,2018-01-01T00:00:00,GHCND:USC00120852,-133
",,7,1630",PRCP,2018-01-01T00:00:00,GHCND:USC00122731,0
",,7,1630",TMAX,2018-01-01T00:00:00,GHCND:USC00122731,-89
",,7,1630",TMIN,2018-01-01T00:00:00,GHCND:USC00122731,-178
",,7,1630",TOBS,2018-01-01T00:00:00,GHCND:USC00122731,-122
",,7,0600",PRCP,2018-01-01T00:00:00,GHCND:USC00126151,0
",,7,",TMAX,2018-01-01T00:00:00,GHCND:USC00126151,-100
",,7,",TMIN,2018-01-01T00:00:00,GHCND:USC00126151,-172
",,7,",TOBS,2018-01-01T00:00:00,GHCND:USC00126151,-161
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00153762,0
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00153762,-83
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00153762,-172
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00153762,-172
",,7,2300",PRCP,2018-01-01T00:00:00,GHCND:USC00153768,0
",,7,2300",TMAX,2018-01-01T00:00:00,GHCND:USC00153768,-122
",,7,2300",TMIN,2018-01-01T00:00:00,GHCND:USC00153768,-172
",,7,2300",TOBS,2018-01-01T00:00:00,GHCND:USC00153768,-167
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00093817,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00093817,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00093817,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00093817,-132
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00093817,-99
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00093817,-171
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00093817,320
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00093817,58
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1INVN0002,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1INVN0002,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1INVN0011,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1INVN0011,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1INWK0002,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1INWK0002,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1INWK0002,0
",,N,",WESD,2018-01-02T00:00:00,GHCND:US1INWK0002,0
",,N,",WESF,2018-01-02T00:00:00,GHCND:US1INWK0002,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1INWK0014,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1INWK0014,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1INWK0019,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1INWK0019,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1INWK0022,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1INWK0022,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYHS0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KYHS0001,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYHS0004,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYHS0005,0
",,7,1800",PRCP,2018-01-02T00:00:00,GHCND:USC00120852,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00120852,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00120852,0
",,7,1800",TMAX,2018-01-02T00:00:00,GHCND:USC00120852,-67
",,7,1800",TMIN,2018-01-02T00:00:00,GHCND:USC00120852,-200
",,7,1800",TOBS,2018-01-02T00:00:00,GHCND:USC00120852,-122
",,7,1630",PRCP,2018-01-02T00:00:00,GHCND:USC00122731,0
",,7,1630",TMAX,2018-01-02T00:00:00,GHCND:USC00122731,-72
",,7,1630",TMIN,2018-01-02T00:00:00,GHCND:USC00122731,-183
",,7,1630",TOBS,2018-01-02T00:00:00,GHCND:USC00122731,-83
",,7,0600",PRCP,2018-01-02T00:00:00,GHCND:USC00126151,0
",,7,",TMAX,2018-01-02T00:00:00,GHCND:USC00126151,-78
",,7,",TMIN,2018-01-02T00:00:00,GHCND:USC00126151,-189
",,7,",TOBS,2018-01-02T00:00:00,GHCND:USC00126151,-172
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00153762,0
",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00153762,-106
",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00153762,-189
",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00153762,-189
",,7,2300",PRCP,2018-01-02T00:00:00,GHCND:USC00153768,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00153768,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00153768,0
",,7,2300",TMAX,2018-01-02T00:00:00,GHCND:USC00153768,-50
",,7,2300",TMIN,2018-01-02T00:00:00,GHCND:USC00153768,-178
",,7,2300",TOBS,2018-01-02T00:00:00,GHCND:USC00153768,-161
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00093817,5
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00093817,0
",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00093817,0
",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00093817,0
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00093817,-122
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00093817,-71
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00093817,-188
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00093817,200
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00093817,27
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1INVN0002,0
