,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0014,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0014,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0021,0
3,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0021,0
4,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0027,0
5,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0027,0
6,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0033,0
7,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0033,0
8,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0042,0
9,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0042,0
10,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0046,0
11,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0046,0
12,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0059,0
13,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0059,0
14,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0061,0
15,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0061,0
16,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0066,0
17,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0066,0
18,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0075,0
19,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0088,0
20,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0088,0
21,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0092,0
22,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0092,0
23,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0107,0
24,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0107,0
25,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0111,0
26,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0113,0
27,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0113,0
28,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0122,0
29,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0122,0
30,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0137,0
31,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0137,0
32,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0140,0
33,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1AZCN0140,0
34,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0143,0
35,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1AZCN0147,0
36,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00020678,0
37,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00020678,0
38,",,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00020678,0
39,",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00020678,139
40,",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00020678,-139
41,",,7,1500",PRCP,2018-01-01T00:00:00,GHCND:USC00023009,0
42,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00023009,0
43,",,7,1500",SNWD,2018-01-01T00:00:00,GHCND:USC00023009,0
44,",,7,1500",TMAX,2018-01-01T00:00:00,GHCND:USC00023009,144
45,",,7,1500",TMIN,2018-01-01T00:00:00,GHCND:USC00023009,-128
46,",,7,1500",TOBS,2018-01-01T00:00:00,GHCND:USC00023009,133
47,",,7,1000",PRCP,2018-01-01T00:00:00,GHCND:USC00023160,0
48,",,7,1000",TMAX,2018-01-01T00:00:00,GHCND:USC00023160,133
49,",,7,1000",TMIN,2018-01-01T00:00:00,GHCND:USC00023160,-111
50,",,7,0900",PRCP,2018-01-01T00:00:00,GHCND:USC00028329,0
51,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00028329,0
52,",,7,0900",SNWD,2018-01-01T00:00:00,GHCND:USC00028329,0
53,",,7,0900",TMAX,2018-01-01T00:00:00,GHCND:USC00028329,150
54,",,7,0900",TMIN,2018-01-01T00:00:00,GHCND:USC00028329,-128
55,",,7,0900",TOBS,2018-01-01T00:00:00,GHCND:USC00028329,22
56,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00029156,0
57,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00029156,0
58,",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00029156,0
59,",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00029156,161
60,",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00029156,-56
61,",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00029156,-6
62,",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000AFLG,21
63,"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000AFLG,150
64,"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000AFLG,-100
65,",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0011P02S,0
66,",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0011P02S,0
67,",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0011P02S,17
68,",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0011P02S,-157
69,",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0011P02S,23
70,",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0011P02S,0
71,",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0011P08S,0
72,",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0011P08S,0
73,",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0011P08S,14
74,",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0011P08S,69
75,",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0011P08S,-48
76,",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0011P08S,39
77,",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0011P08S,0
78,",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0011P13S,0
79,",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0011P13S,0
80,",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0011P13S,27
81,",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0011P13S,134
82,",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0011P13S,-66
83,",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0011P13S,48
84,",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0011P13S,0
85,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00003103,13
86,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00003103,0
87,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00003103,0
88,",,W,0500",SNWD,2018-01-01T00:00:00,GHCND:USW00003103,0
89,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00003103,144
90,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00003103,-93
91,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00003103,210
92,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00003103,260
93,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00003103,63
94,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00003103,81
95,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0014,0
96,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0014,0
97,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0021,0
98,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0021,0
99,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0027,0
100,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0027,0
101,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0033,0
102,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0033,0
103,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0042,0
104,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0042,0
105,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0046,0
106,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0046,0
107,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0059,0
108,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0059,0
109,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0061,0
110,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0061,0
111,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0066,0
112,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0066,0
113,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0075,0
114,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0088,0
115,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0088,0
116,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0092,0
117,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0092,0
118,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0107,0
119,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0107,0
120,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0111,0
121,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0113,0
122,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0113,0
123,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0137,0
124,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0137,0
125,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0140,0
126,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1AZCN0140,0
127,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0143,0
128,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1AZCN0147,0
129,",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00020678,0
130,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00020678,0
131,",,7,2400",SNWD,2018-01-02T00:00:00,GHCND:USC00020678,0
132,",,7,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00020678,89
133,",,7,2400",TMIN,2018-01-02T00:00:00,GHCND:USC00020678,-89
134,",,7,1500",PRCP,2018-01-02T00:00:00,GHCND:USC00023009,0
135,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00023009,0
136,",,7,1500",SNWD,2018-01-02T00:00:00,GHCND:USC00023009,0
137,",,7,1500",TMAX,2018-01-02T00:00:00,GHCND:USC00023009,133
138,",,7,1500",TMIN,2018-01-02T00:00:00,GHCND:USC00023009,-94
139,",,7,1500",TOBS,2018-01-02T00:00:00,GHCND:USC00023009,72
140,",,7,1000",PRCP,2018-01-02T00:00:00,GHCND:USC00023160,0
141,",,7,1000",TMAX,2018-01-02T00:00:00,GHCND:USC00023160,100
142,",,7,1000",TMIN,2018-01-02T00:00:00,GHCND:USC00023160,-111
143,",,7,0900",PRCP,2018-01-02T00:00:00,GHCND:USC00028329,0
144,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00028329,0
145,",,7,0900",SNWD,2018-01-02T00:00:00,GHCND:USC00028329,0
146,",,7,0900",TMAX,2018-01-02T00:00:00,GHCND:USC00028329,139
147,",,7,0900",TMIN,2018-01-02T00:00:00,GHCND:USC00028329,-72
148,",,7,0900",TOBS,2018-01-02T00:00:00,GHCND:USC00028329,56
149,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00029156,0
150,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00029156,0
151,",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00029156,0
152,",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00029156,161
153,",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00029156,-50
154,",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00029156,-22
155,",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000AFLG,7
156,"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000AFLG,83
157,"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000AFLG,-72
158,",,T,",PRCP,2018-01-02T00:00:00,GHCND:USS0011P02S,0
159,",,T,",SNWD,2018-01-02T00:00:00,GHCND:USS0011P02S,0
160,",,T,",TAVG,2018-01-02T00:00:00,GHCND:USS0011P02S,7
161,",,T,",TMAX,2018-01-02T00:00:00,GHCND:USS0011P02S,105
162,",,T,",TMIN,2018-01-02T00:00:00,GHCND:USS0011P02S,-112
163,",,T,",TOBS,2018-01-02T00:00:00,GHCND:USS0011P02S,-73
164,",,T,",WESD,2018-01-02T00:00:00,GHCND:USS0011P02S,0
165,",,T,",PRCP,2018-01-02T00:00:00,GHCND:USS0011P08S,0
166,",,T,",SNWD,2018-01-02T00:00:00,GHCND:USS0011P08S,0
167,",,T,",TAVG,2018-01-02T00:00:00,GHCND:USS0011P08S,13
168,",,T,",TMAX,2018-01-02T00:00:00,GHCND:USS0011P08S,50
169,",,T,",TMIN,2018-01-02T00:00:00,GHCND:USS0011P08S,-28
170,",,T,",TOBS,2018-01-02T00:00:00,GHCND:USS0011P08S,-23
171,",,T,",WESD,2018-01-02T00:00:00,GHCND:USS0011P08S,0
172,",,T,",PRCP,2018-01-02T00:00:00,GHCND:USS0011P13S,0
173,",,T,",SNWD,2018-01-02T00:00:00,GHCND:USS0011P13S,0
174,",,T,",TAVG,2018-01-02T00:00:00,GHCND:USS0011P13S,44
175,",,T,",TMAX,2018-01-02T00:00:00,GHCND:USS0011P13S,97
176,",,T,",TMIN,2018-01-02T00:00:00,GHCND:USS0011P13S,-20
177,",,T,",TOBS,2018-01-02T00:00:00,GHCND:USS0011P13S,33
178,",,T,",WESD,2018-01-02T00:00:00,GHCND:USS0011P13S,0
179,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00003103,32
180,",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00003103,0
181,",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00003103,0
182,",,W,0500",SNWD,2018-01-02T00:00:00,GHCND:USW00003103,0
183,",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00003103,83
184,",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00003103,-66
185,",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00003103,60
186,",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00003103,50
187,",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00003103,98
188,",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00003103,130
189,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0014,0
190,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0014,0
191,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0021,0
192,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0021,0
193,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0027,0
194,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0027,0
195,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0033,0
196,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0033,0
197,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0042,0
198,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0042,0
199,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0046,0
200,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0046,0
201,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0059,0
202,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0059,0
203,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0061,0
204,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0061,0
205,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0066,0
206,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0066,0
207,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0075,0
208,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0088,0
209,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0088,0
210,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0092,0
211,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0092,0
212,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0107,0
213,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0107,0
214,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0113,0
215,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0113,0
216,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0122,0
217,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0122,0
218,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0137,0
219,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0137,0
220,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0140,0
221,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1AZCN0140,0
222,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0143,0
223,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1AZCN0147,0
224,",,7,2400",PRCP,2018-01-03T00:00:00,GHCND:USC00020678,0
225,",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00020678,0
226,",,7,2400",SNWD,2018-01-03T00:00:00,GHCND:USC00020678,0
227,",,7,2400",TMAX,2018-01-03T00:00:00,GHCND:USC00020678,128
228,",,7,2400",TMIN,2018-01-03T00:00:00,GHCND:USC00020678,-122
229,",,7,1500",PRCP,2018-01-03T00:00:00,GHCND:USC00023009,0
230,",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00023009,0
231,",,7,1500",SNWD,2018-01-03T00:00:00,GHCND:USC00023009,0
232,",,7,1500",TMAX,2018-01-03T00:00:00,GHCND:USC00023009,122
233,",,7,1500",TMIN,2018-01-03T00:00:00,GHCND:USC00023009,-111
234,",,7,1500",TOBS,2018-01-03T00:00:00,GHCND:USC00023009,111
235,",,7,1000",PRCP,2018-01-03T00:00:00,GHCND:USC00023160,0
236,",,7,1000",TMAX,2018-01-03T00:00:00,GHCND:USC00023160,122
