attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0003,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0003,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1COME0003,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0007,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0007,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0064,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0067,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0067,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1COME0067,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0069,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0069,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1COME0069,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0079,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0079,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0088,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0088,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0091,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0091,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0094,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0094,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0100,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0100,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1COME0100,0
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1COME0100,0
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1COME0100,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0103,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0103,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1COME0103,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0106,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0106,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0125,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0125,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0137,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0137,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1COME0137,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0140,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0143,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COME0143,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COME0146,0
