attributes,datatype,date,station,value
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDWH0001,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDWH0001,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDWH0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDWH0003,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDWH0003,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDWH0003,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1PAFN0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1PAFN0001,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1PAFN0001,25
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1PAFN0001,18
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1PAFN0001,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1PAFN0013,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WVBY0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WVBY0002,0
",,7,",AWND,2018-01-01T00:00:00,GHCND:USC00181790,40
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00181790,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00181790,0
"T,,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00181790,0
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00181790,-56
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00181790,-150
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00181790,-122
",,7,",WDFG,2018-01-01T00:00:00,GHCND:USC00181790,315
",,7,",WSFG,2018-01-01T00:00:00,GHCND:USC00181790,139
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00188371,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00188371,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00188371,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00188371,-94
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00188371,-161
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00188371,-156
",,7,",WESD,2018-01-01T00:00:00,GHCND:USC00188371,0
",,7,0600",PRCP,2018-01-01T00:00:00,GHCND:USC00189570,0
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00093706,41
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00093706,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00093706,-60
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00093706,-127
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00093706,300
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00093706,300
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00093706,112
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00093706,134
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MDWH0001,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1PAFN0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1PAFN0001,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1PAFN0001,25
",,N,",WESD,2018-01-02T00:00:00,GHCND:US1PAFN0001,20
",,N,",WESF,2018-01-02T00:00:00,GHCND:US1PAFN0001,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1PAFN0013,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1PAFN0013,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WVBY0002,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WVBY0002,0
",,7,",AWND,2018-01-02T00:00:00,GHCND:USC00181790,31
",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00181790,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00181790,0
"T,,7,2400",SNWD,2018-01-02T00:00:00,GHCND:USC00181790,0
",,7,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00181790,-44
",,7,2400",TMIN,2018-01-02T00:00:00,GHCND:USC00181790,-133
",,7,2400",TOBS,2018-01-02T00:00:00,GHCND:USC00181790,-111
",,7,",WDFG,2018-01-02T00:00:00,GHCND:USC00181790,270
",,7,",WSFG,2018-01-02T00:00:00,GHCND:USC00181790,98
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00188371,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00188371,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00188371,0
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00188371,-78
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00188371,-167
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00188371,-139
",,7,",WESD,2018-01-02T00:00:00,GHCND:USC00188371,0
",,7,0600",PRCP,2018-01-02T00:00:00,GHCND:USC00189570,0
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00093706,35
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00093706,0
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00093706,-49
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00093706,-127
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00093706,280
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00093706,280
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00093706,72
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00093706,89
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1MDWH0001,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1MDWH0003,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1MDWH0003,0
"T,,N,",SNWD,2018-01-03T00:00:00,GHCND:US1MDWH0003,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1PAFN0001,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1PAFN0001,0
