attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTLC0004,229
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTLC0014,343
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1MTLC0014,368
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00248239,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00248239,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00248239,508
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00248239,-161
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00248239,-256
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00248239,-189
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000MHEL,-213
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000MHEL,-144
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000MHEL,-267
",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0012C13S,0
",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0012C13S,660
",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0012C13S,-66
",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0012C13S,-25
",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0012C13S,-134
",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0012C13S,-52
",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0012C13S,1473
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00024144,5
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00024144,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00024144,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00024144,230
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00024144,-203
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00024144,-160
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00024144,-249
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00024144,50
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00024144,40
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00024144,36
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00024144,40
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00024144,1
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1MTLC0004,229
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1MTLC0014,318
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00248239,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00248239,0
",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00248239,508
",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00248239,-72
",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00248239,-211
",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00248239,-200
",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000MHEL,-214
"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000MHEL,-128
"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000MHEL,-267
",,T,",PRCP,2018-01-02T00:00:00,GHCND:USS0012C13S,0
",,T,",SNWD,2018-01-02T00:00:00,GHCND:USS0012C13S,635
",,T,",TAVG,2018-01-02T00:00:00,GHCND:USS0012C13S,-24
",,T,",TMAX,2018-01-02T00:00:00,GHCND:USS0012C13S,30
",,T,",TMIN,2018-01-02T00:00:00,GHCND:USS0012C13S,-65
",,T,",TOBS,2018-01-02T00:00:00,GHCND:USS0012C13S,-54
",,T,",WESD,2018-01-02T00:00:00,GHCND:USS0012C13S,1473
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00024144,2
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00024144,0
",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00024144,0
",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00024144,230
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00024144,-213
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00024144,-160
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00024144,-271
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00024144,90
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00024144,90
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00024144,27
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00024144,31
",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00024144,1
",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00024144,1
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1MTLC0004,229
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1MTLC0014,305
",,7,0700",PRCP,2018-01-03T00:00:00,GHCND:USC00248239,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00248239,0
",,7,0700",SNWD,2018-01-03T00:00:00,GHCND:USC00248239,508
",,7,0700",TMAX,2018-01-03T00:00:00,GHCND:USC00248239,-56
",,7,0700",TMIN,2018-01-03T00:00:00,GHCND:USC00248239,-217
",,7,0700",TOBS,2018-01-03T00:00:00,GHCND:USC00248239,-133
",,U,",TAVG,2018-01-03T00:00:00,GHCND:USR0000MHEL,-166
"H,,U,",TMAX,2018-01-03T00:00:00,GHCND:USR0000MHEL,-94
"H,,U,",TMIN,2018-01-03T00:00:00,GHCND:USR0000MHEL,-222
",,T,",PRCP,2018-01-03T00:00:00,GHCND:USS0012C13S,25
",,T,",SNWD,2018-01-03T00:00:00,GHCND:USS0012C13S,610
",,T,",TAVG,2018-01-03T00:00:00,GHCND:USS0012C13S,-5
",,T,",TMAX,2018-01-03T00:00:00,GHCND:USS0012C13S,43
",,T,",TMIN,2018-01-03T00:00:00,GHCND:USS0012C13S,-58
",,T,",TOBS,2018-01-03T00:00:00,GHCND:USS0012C13S,-45
",,T,",WESD,2018-01-03T00:00:00,GHCND:USS0012C13S,1448
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00024144,5
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00024144,0
",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00024144,0
",,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00024144,230
"H,,S,",TAVG,2018-01-03T00:00:00,GHCND:USW00024144,-171
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00024144,-99
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00024144,-210
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00024144,360
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00024144,360
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00024144,31
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00024144,31
",,W,",WT01,2018-01-03T00:00:00,GHCND:USW00024144,1
",,W,",WT08,2018-01-03T00:00:00,GHCND:USW00024144,1
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1MTLC0004,229
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1MTLC0014,305
",,7,0700",PRCP,2018-01-04T00:00:00,GHCND:USC00248239,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00248239,0
",,7,0700",SNWD,2018-01-04T00:00:00,GHCND:USC00248239,508
",,7,0700",TMAX,2018-01-04T00:00:00,GHCND:USC00248239,-61
",,7,0700",TMIN,2018-01-04T00:00:00,GHCND:USC00248239,-167
",,7,0700",TOBS,2018-01-04T00:00:00,GHCND:USC00248239,-167
",,U,",TAVG,2018-01-04T00:00:00,GHCND:USR0000MHEL,-156
"H,,U,",TMAX,2018-01-04T00:00:00,GHCND:USR0000MHEL,-106
"H,,U,",TMIN,2018-01-04T00:00:00,GHCND:USR0000MHEL,-211
",,T,",PRCP,2018-01-04T00:00:00,GHCND:USS0012C13S,25
",,T,",SNWD,2018-01-04T00:00:00,GHCND:USS0012C13S,584
",,T,",TAVG,2018-01-04T00:00:00,GHCND:USS0012C13S,-6
",,T,",TMAX,2018-01-04T00:00:00,GHCND:USS0012C13S,68
",,T,",TMIN,2018-01-04T00:00:00,GHCND:USS0012C13S,-69
",,T,",TOBS,2018-01-04T00:00:00,GHCND:USS0012C13S,30
",,T,",WESD,2018-01-04T00:00:00,GHCND:USS0012C13S,1448
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00024144,2
",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00024144,0
",,W,",SNOW,2018-01-04T00:00:00,GHCND:USW00024144,0
",,W,",SNWD,2018-01-04T00:00:00,GHCND:USW00024144,230
"H,,S,",TAVG,2018-01-04T00:00:00,GHCND:USW00024144,-156
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00024144,-110
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00024144,-205
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00024144,270
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00024144,270
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00024144,31
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00024144,31
",,W,",WT01,2018-01-04T00:00:00,GHCND:USW00024144,1
",,W,",WT08,2018-01-04T00:00:00,GHCND:USW00024144,1
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1MTLC0004,0
",,N,",SNWD,2018-01-05T00:00:00,GHCND:US1MTLC0004,216
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1MTLC0014,0
",,N,",SNWD,2018-01-05T00:00:00,GHCND:US1MTLC0014,292
",,7,0700",PRCP,2018-01-05T00:00:00,GHCND:USC00248239,0
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00248239,0
",,7,0700",SNWD,2018-01-05T00:00:00,GHCND:USC00248239,483
",,7,0700",TMAX,2018-01-05T00:00:00,GHCND:USC00248239,44
",,7,0700",TMIN,2018-01-05T00:00:00,GHCND:USC00248239,-183
",,7,0700",TOBS,2018-01-05T00:00:00,GHCND:USC00248239,-50
