,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1HIHN0010,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1HIHN0010,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1HIHN0014,0
3,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1HIHN0014,0
4,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1HIHN0022,0
5,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1HIHN0022,0
6,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1HIHN0023,0
7,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1HIHN0027,0
8,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1HIHN0027,0
9,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00510055,13
10,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00510123,0
11,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00510211,0
12,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00510350,3
13,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00510920,0
14,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00511308,0
15,",,H,0900",PRCP,2018-01-01T00:00:00,GHCND:USC00511918,0
16,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00511925,0
17,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00512960,0
18,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00513117,0
19,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00513117,244
20,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00513117,194
21,",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00513117,194
22,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00514828,0
23,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00514829,0
24,",,7,0730",PRCP,2018-01-01T00:00:00,GHCND:USC00514830,0
25,",,H,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00515655,3
26,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00516122,0
27,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00516128,0
28,",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00516128,244
29,",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00516128,178
30,",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00516128,228
31,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00516222,0
32,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00516261,0
33,",,7,0900",PRCP,2018-01-01T00:00:00,GHCND:USC00516395,0
34,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00516400,3
35,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00516865,0
36,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00516928,3
37,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00516933,0
38,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00516938,10
39,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00517052,0
40,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00517540,0
41,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00517662,0
42,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00517664,0
43,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00517810,0
44,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00518316,0
45,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00518601,0
46,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00518815,0
47,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00519185,0
48,",,H,",PRCP,2018-01-01T00:00:00,GHCND:USC00519257,0
49,"T,,7,0500",PRCP,2018-01-01T00:00:00,GHCND:USC00519281,0
50,",,7,0500",TMAX,2018-01-01T00:00:00,GHCND:USC00519281,250
51,",,7,0500",TMIN,2018-01-01T00:00:00,GHCND:USC00519281,161
52,",,7,0500",TOBS,2018-01-01T00:00:00,GHCND:USC00519281,222
53,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00519397,0
54,",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00519397,256
55,",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00519397,178
56,",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00519397,183
57,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00519523,0
58,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00519523,250
59,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00519523,194
60,",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00519523,244
61,",,7,1300",PRCP,2018-01-01T00:00:00,GHCND:USC00519738,0
62,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00519980,3
63,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00022519,36
64,",,W,",PGTM,2018-01-01T00:00:00,GHCND:USW00022519,2345
65,",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00022519,10
66,",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00022519,267
67,",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00022519,228
68,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00022519,70
69,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00022519,70
70,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00022519,72
71,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00022519,89
72,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00022521,30
73,"T,,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00022521,0
74,",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00022521,0
75,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00022521,236
76,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00022521,283
77,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00022521,189
78,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00022521,60
79,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00022521,30
80,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00022521,67
81,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00022521,89
82,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00022551,22
83,",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00022551,0
84,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00022551,0
85,",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00022551,278
86,",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00022551,161
87,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00022551,140
88,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00022551,120
89,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00022551,63
90,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00022551,85
91,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1HIHN0010,0
92,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1HIHN0010,0
93,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1HIHN0014,0
94,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1HIHN0014,0
95,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1HIHN0022,0
96,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1HIHN0022,0
97,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1HIHN0023,3
98,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1HIHN0027,0
99,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1HIHN0027,0
100,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00510055,0
101,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00510123,0
102,",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00510211,0
103,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00510350,0
104,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00510920,0
105,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00511308,0
106,",,H,0900",PRCP,2018-01-02T00:00:00,GHCND:USC00511918,0
107,",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00512960,0
108,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00513117,8
109,",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00513117,261
110,",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00513117,194
111,",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00513117,217
112,",,7,",DAPR,2018-01-02T00:00:00,GHCND:USC00513268,4
113,",,7,",MDPR,2018-01-02T00:00:00,GHCND:USC00513268,8
114,"T,,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00514828,0
115,"T,,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00514829,0
116,",,7,0730",PRCP,2018-01-02T00:00:00,GHCND:USC00514830,0
117,",,H,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00515655,0
118,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00516122,5
119,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00516128,0
120,",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00516128,244
121,",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00516128,172
122,",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00516128,211
123,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00516222,0
124,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00516261,0
125,",,7,0900",PRCP,2018-01-02T00:00:00,GHCND:USC00516395,0
126,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00516400,0
127,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00516865,0
128,",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00516928,8
129,",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00516933,8
130,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00516938,0
131,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00517052,0
132,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00517540,0
133,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00517662,0
134,",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00517664,8
135,",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00517810,20
136,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00518316,3
137,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00518601,0
138,"T,,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00518815,0
139,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00519185,0
140,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00519257,0
141,",,7,0500",PRCP,2018-01-02T00:00:00,GHCND:USC00519281,3
142,",,7,0500",TMAX,2018-01-02T00:00:00,GHCND:USC00519281,267
143,",,7,0500",TMIN,2018-01-02T00:00:00,GHCND:USC00519281,200
144,",,7,0500",TOBS,2018-01-02T00:00:00,GHCND:USC00519281,228
145,",,H,",PRCP,2018-01-02T00:00:00,GHCND:USC00519286,0
146,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00519523,0
147,",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00519523,256
148,",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00519523,217
149,",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00519523,228
150,",,7,1300",PRCP,2018-01-02T00:00:00,GHCND:USC00519738,0
151,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00519980,3
152,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00022519,36
153,",,W,",PGTM,2018-01-02T00:00:00,GHCND:USW00022519,38
154,",,W,",PRCP,2018-01-02T00:00:00,GHCND:USW00022519,0
155,",,W,",TMAX,2018-01-02T00:00:00,GHCND:USW00022519,261
156,",,W,",TMIN,2018-01-02T00:00:00,GHCND:USW00022519,228
157,",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00022519,70
158,",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00022519,60
159,",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00022519,76
160,",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00022519,107
161,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00022521,45
162,"T,,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00022521,0
163,",,H,",SNOW,2018-01-02T00:00:00,GHCND:USW00022521,0
164,"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00022521,246
165,",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00022521,283
166,",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00022521,206
167,",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00022521,70
168,",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00022521,60
