,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALLS0002,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALLS0002,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALLS0026,0
3,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALLS0026,0
4,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0002,0
5,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0002,0
6,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0003,0
7,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0003,0
8,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0004,0
9,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0004,0
10,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0006,0
11,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0006,0
12,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0012,0
13,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0012,0
14,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0017,0
15,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0025,0
16,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0025,0
17,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0026,0
18,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0026,0
19,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0031,0
20,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0031,0
21,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0033,0
22,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0033,0
23,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0042,0
24,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0050,0
25,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0050,0
26,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0059,0
27,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0059,0
28,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0069,0
29,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0069,0
30,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1ALMD0069,0
31,"T,,N,",WESD,2018-01-01T00:00:00,GHCND:US1ALMD0069,0
32,"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1ALMD0069,0
33,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0071,0
34,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0071,0
35,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMD0087,0
36,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMD0087,0
37,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALMG0012,0
38,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALMG0012,0
39,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00016196,0
40,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00016196,0
41,",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00016196,0
42,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00016196,-6
43,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00016196,-111
44,",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00016196,-111
45,",,7,0600",PRCP,2018-01-01T00:00:00,GHCND:USC00017674,0
46,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00017674,0
47,",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00017674,0
48,",,7,0600",TMAX,2018-01-01T00:00:00,GHCND:USC00017674,-50
49,",,7,0600",TMIN,2018-01-01T00:00:00,GHCND:USC00017674,-117
50,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00003856,58
51,"T,,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00003856,0
52,"T,,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00003856,0
53,",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00003856,0
