attributes,datatype,date,station,value
",,7,0600",PRCP,2018-01-01T00:00:00,GHCND:USC00324418,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00324418,0
",,7,0600",SNWD,2018-01-01T00:00:00,GHCND:USC00324418,76
",,7,0600",TMAX,2018-01-01T00:00:00,GHCND:USC00324418,-222
",,7,0600",TMIN,2018-01-01T00:00:00,GHCND:USC00324418,-306
",,7,0600",TOBS,2018-01-01T00:00:00,GHCND:USC00324418,-278
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00326105,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00326105,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00326105,51
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014919,35
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014919,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014919,-199
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014919,-282
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014919,240
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014919,230
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014919,63
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014919,76
",,7,0600",PRCP,2018-01-02T00:00:00,GHCND:USC00324418,5
"T,,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00324418,0
",,7,0600",SNWD,2018-01-02T00:00:00,GHCND:USC00324418,76
",,7,0600",TMAX,2018-01-02T00:00:00,GHCND:USC00324418,-178
",,7,0600",TMIN,2018-01-02T00:00:00,GHCND:USC00324418,-278
",,7,0600",TOBS,2018-01-02T00:00:00,GHCND:USC00324418,-211
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00326105,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00326105,0
",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00326105,51
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00014919,87
"T,,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00014919,0
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00014919,-66
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00014919,-232
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00014919,360
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00014919,350
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00014919,139
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00014919,179
",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00014919,1
",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00014919,1
",,W,",WT09,2018-01-02T00:00:00,GHCND:USW00014919,1
"T,,7,0600",PRCP,2018-01-03T00:00:00,GHCND:USC00324418,0
"T,,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00324418,0
",,7,0600",SNWD,2018-01-03T00:00:00,GHCND:USC00324418,76
",,7,0600",TMAX,2018-01-03T00:00:00,GHCND:USC00324418,-72
",,7,0600",TMIN,2018-01-03T00:00:00,GHCND:USC00324418,-211
",,7,0600",TOBS,2018-01-03T00:00:00,GHCND:USC00324418,-211
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00326105,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00326105,0
",,7,0800",SNWD,2018-01-03T00:00:00,GHCND:USC00326105,51
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00014919,28
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00014919,0
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00014919,-155
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00014919,-221
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00014919,350
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00014919,350
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00014919,81
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00014919,98
"T,,7,0600",PRCP,2018-01-04T00:00:00,GHCND:USC00324418,0
"T,,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00324418,0
",,7,0600",SNWD,2018-01-04T00:00:00,GHCND:USC00324418,76
",,7,0600",TMAX,2018-01-04T00:00:00,GHCND:USC00324418,-156
",,7,0600",TMIN,2018-01-04T00:00:00,GHCND:USC00324418,-217
",,7,0600",TOBS,2018-01-04T00:00:00,GHCND:USC00324418,-161
"T,,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00326105,0
"T,,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00326105,0
",,7,0800",SNWD,2018-01-04T00:00:00,GHCND:USC00326105,51
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00014919,47
"T,,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00014919,0
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00014919,-155
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00014919,-182
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00014919,140
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00014919,140
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00014919,72
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00014919,89
",,W,",WT01,2018-01-04T00:00:00,GHCND:USW00014919,1
"T,,7,0600",PRCP,2018-01-05T00:00:00,GHCND:USC00324418,0
"T,,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00324418,0
",,7,0600",SNWD,2018-01-05T00:00:00,GHCND:USC00324418,76
",,7,0600",TMAX,2018-01-05T00:00:00,GHCND:USC00324418,-156
",,7,0600",TMIN,2018-01-05T00:00:00,GHCND:USC00324418,-194
",,7,0600",TOBS,2018-01-05T00:00:00,GHCND:USC00324418,-189
"T,,7,0800",PRCP,2018-01-05T00:00:00,GHCND:USC00326105,0
"T,,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00326105,0
",,7,0800",SNWD,2018-01-05T00:00:00,GHCND:USC00326105,51
",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00014919,41
",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00014919,0
",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00014919,-149
",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00014919,-193
",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00014919,150
",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00014919,140
",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00014919,63
",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00014919,76
",,7,0600",PRCP,2018-01-06T00:00:00,GHCND:USC00324418,0
",,7,",SNOW,2018-01-06T00:00:00,GHCND:USC00324418,0
",,7,0600",SNWD,2018-01-06T00:00:00,GHCND:USC00324418,76
",,7,0600",TMAX,2018-01-06T00:00:00,GHCND:USC00324418,-128
",,7,0600",TMIN,2018-01-06T00:00:00,GHCND:USC00324418,-189
",,7,0600",TOBS,2018-01-06T00:00:00,GHCND:USC00324418,-144
",,7,0800",PRCP,2018-01-06T00:00:00,GHCND:USC00326105,0
",,7,",SNOW,2018-01-06T00:00:00,GHCND:USC00326105,0
",,7,0800",SNWD,2018-01-06T00:00:00,GHCND:USC00326105,51
",,W,",AWND,2018-01-06T00:00:00,GHCND:USW00014919,83
"T,,W,2400",PRCP,2018-01-06T00:00:00,GHCND:USW00014919,0
",,W,2400",TMAX,2018-01-06T00:00:00,GHCND:USW00014919,-60
",,W,2400",TMIN,2018-01-06T00:00:00,GHCND:USW00014919,-160
",,W,",WDF2,2018-01-06T00:00:00,GHCND:USW00014919,180
",,W,",WDF5,2018-01-06T00:00:00,GHCND:USW00014919,180
",,W,",WSF2,2018-01-06T00:00:00,GHCND:USW00014919,139
",,W,",WSF5,2018-01-06T00:00:00,GHCND:USW00014919,174
",,W,",WT01,2018-01-06T00:00:00,GHCND:USW00014919,1
",,W,",WT08,2018-01-06T00:00:00,GHCND:USW00014919,1
",,7,0600",PRCP,2018-01-07T00:00:00,GHCND:USC00324418,0
",,7,",SNOW,2018-01-07T00:00:00,GHCND:USC00324418,0
",,7,0600",SNWD,2018-01-07T00:00:00,GHCND:USC00324418,76
",,7,0600",TMAX,2018-01-07T00:00:00,GHCND:USC00324418,-11
",,7,0600",TMIN,2018-01-07T00:00:00,GHCND:USC00324418,-150
",,7,0600",TOBS,2018-01-07T00:00:00,GHCND:USC00324418,-11
",,7,0800",PRCP,2018-01-07T00:00:00,GHCND:USC00326105,0
",,7,",SNOW,2018-01-07T00:00:00,GHCND:USC00326105,0
",,7,0800",SNWD,2018-01-07T00:00:00,GHCND:USC00326105,51
",,W,",AWND,2018-01-07T00:00:00,GHCND:USW00014919,66
",,W,2400",PRCP,2018-01-07T00:00:00,GHCND:USW00014919,0
",,W,2400",TMAX,2018-01-07T00:00:00,GHCND:USW00014919,22
",,W,2400",TMIN,2018-01-07T00:00:00,GHCND:USW00014919,-82
",,W,",WDF2,2018-01-07T00:00:00,GHCND:USW00014919,300
",,W,",WDF5,2018-01-07T00:00:00,GHCND:USW00014919,300
",,W,",WSF2,2018-01-07T00:00:00,GHCND:USW00014919,116
",,W,",WSF5,2018-01-07T00:00:00,GHCND:USW00014919,143
",,W,",WT01,2018-01-07T00:00:00,GHCND:USW00014919,1
",,7,0600",PRCP,2018-01-08T00:00:00,GHCND:USC00324418,0
",,7,",SNOW,2018-01-08T00:00:00,GHCND:USC00324418,0
",,7,0600",SNWD,2018-01-08T00:00:00,GHCND:USC00324418,76
",,7,0600",TMAX,2018-01-08T00:00:00,GHCND:USC00324418,17
",,7,0600",TMIN,2018-01-08T00:00:00,GHCND:USC00324418,-50
",,7,0600",TOBS,2018-01-08T00:00:00,GHCND:USC00324418,-44
",,7,0800",PRCP,2018-01-08T00:00:00,GHCND:USC00326105,0
",,7,",SNOW,2018-01-08T00:00:00,GHCND:USC00326105,0
",,7,0800",SNWD,2018-01-08T00:00:00,GHCND:USC00326105,25
",,W,",AWND,2018-01-08T00:00:00,GHCND:USW00014919,39
",,W,2400",PRCP,2018-01-08T00:00:00,GHCND:USW00014919,0
