attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US10buff036,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NEBF0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NEBF0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NEBF0006,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NEBF0006,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NEBF0006,102
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00254335,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00254335,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00254335,102
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00254335,-172
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00254335,-250
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00254335,-239
",,7,0830",PRCP,2018-01-01T00:00:00,GHCND:USC00255565,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00255565,0
",,7,0830",SNWD,2018-01-01T00:00:00,GHCND:USC00255565,102
",,7,0830",TMAX,2018-01-01T00:00:00,GHCND:USC00255565,-144
",,7,0830",TMIN,2018-01-01T00:00:00,GHCND:USC00255565,-211
",,7,0830",TOBS,2018-01-01T00:00:00,GHCND:USC00255565,-150
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10buff036,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NEBF0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NEBF0001,0
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NEBF0006,0
"T,,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NEBF0006,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NEBF0006,102
"T,,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00254335,0
"T,,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00254335,0
",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00254335,102
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00254335,-144
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00254335,-250
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00254335,-200
",,7,0830",PRCP,2018-01-02T00:00:00,GHCND:USC00255565,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00255565,0
",,7,0830",SNWD,2018-01-02T00:00:00,GHCND:USC00255565,102
",,7,0830",TMAX,2018-01-02T00:00:00,GHCND:USC00255565,-128
",,7,0830",TMIN,2018-01-02T00:00:00,GHCND:USC00255565,-183
