attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LAAC0003,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LALY0007,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LASL0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1LASL0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LASM0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1LASM0002,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00161535,0
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00162212,0
",,7,1700",PRCP,2018-01-01T00:00:00,GHCND:USC00163800,0
",,7,1700",TMAX,2018-01-01T00:00:00,GHCND:USC00163800,139
",,7,1700",TMIN,2018-01-01T00:00:00,GHCND:USC00163800,-61
",,7,1700",TOBS,2018-01-01T00:00:00,GHCND:USC00163800,-11
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00168181,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00168181,83
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00168181,-50
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00168181,-44
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013976,76
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013976,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00013976,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00013976,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013976,0
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013976,-49
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013976,10
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013976,10
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013976,112
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013976,152
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00053915,81
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00053915,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00053915,0
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00053915,-43
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00053915,10
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00053915,360
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00053915,112
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00053915,143
",,R,",PRCP,2018-01-01T00:00:00,GHCND:USW00053960,0
",,R,",TMAX,2018-01-01T00:00:00,GHCND:USW00053960,-1
",,R,",TMIN,2018-01-01T00:00:00,GHCND:USW00053960,-50
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US1LAAC0003,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1LALY0007,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1LALY0007,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1LASL0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1LASL0001,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1LASM0002,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1LASM0002,0
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00161535,0
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00162212,0
",,7,1700",PRCP,2018-01-02T00:00:00,GHCND:USC00163800,0
",,7,1700",TMAX,2018-01-02T00:00:00,GHCND:USC00163800,139
",,7,1700",TMIN,2018-01-02T00:00:00,GHCND:USC00163800,-72
",,7,1700",TOBS,2018-01-02T00:00:00,GHCND:USC00163800,-6
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00168181,0
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00168181,-6
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00168181,-56
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00168181,-50
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00013976,47
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00013976,0
",,H,",SNOW,2018-01-02T00:00:00,GHCND:USW00013976,0
",,H,",SNWD,2018-01-02T00:00:00,GHCND:USW00013976,0
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00013976,0
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00013976,-55
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00013976,30
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00013976,30
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00013976,76
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00013976,107
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00053915,54
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00053915,0
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00053915,0
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00053915,-55
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00053915,40
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00053915,40
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00053915,107
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00053915,139
",,R,",PRCP,2018-01-02T00:00:00,GHCND:USW00053960,0
",,R,",TMAX,2018-01-02T00:00:00,GHCND:USW00053960,0
",,R,",TMIN,2018-01-02T00:00:00,GHCND:USW00053960,-57
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1LAAC0003,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1LALY0007,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1LALY0007,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1LASL0001,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1LASL0001,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1LASM0002,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1LASM0002,0
",,7,0700",PRCP,2018-01-03T00:00:00,GHCND:USC00161535,0
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00162212,0
",,7,1700",PRCP,2018-01-03T00:00:00,GHCND:USC00163800,0
",,7,1700",TMAX,2018-01-03T00:00:00,GHCND:USC00163800,72
",,7,1700",TMIN,2018-01-03T00:00:00,GHCND:USC00163800,-78
",,7,1700",TOBS,2018-01-03T00:00:00,GHCND:USC00163800,44
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00168181,0
",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00168181,0
",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00168181,-50
",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00168181,-17
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00013976,38
"T,,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00013976,0
",,H,",SNOW,2018-01-03T00:00:00,GHCND:USW00013976,0
",,H,",SNWD,2018-01-03T00:00:00,GHCND:USW00013976,0
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00013976,56
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00013976,-21
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00013976,360
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00013976,360
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00013976,89
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00013976,112
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00053915,36
"T,,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00053915,0
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00053915,61
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00053915,-32
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00053915,360
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00053915,360
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00053915,98
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00053915,116
",,R,",PRCP,2018-01-03T00:00:00,GHCND:USW00053960,0
",,R,",TMAX,2018-01-03T00:00:00,GHCND:USW00053960,58
",,R,",TMIN,2018-01-03T00:00:00,GHCND:USW00053960,-41
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1LAAC0003,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1LALY0007,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1LASL0001,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1LASL0001,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1LASM0002,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1LASM0002,0
",,7,0700",PRCP,2018-01-04T00:00:00,GHCND:USC00161535,0
",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00162212,0
",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00168181,0
",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00168181,50
",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00168181,-50
",,7,0800",TOBS,2018-01-04T00:00:00,GHCND:USC00168181,-28
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00013976,17
",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00013976,0
",,H,",SNOW,2018-01-04T00:00:00,GHCND:USW00013976,0
",,H,",SNWD,2018-01-04T00:00:00,GHCND:USW00013976,0
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00013976,94
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00013976,-38
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00013976,350
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00013976,340
