attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYFY0003,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYFY0003,3
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1KYFY0003,3
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1KYFY0003,3
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1KYFY0003,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYFY0009,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYFY0009,3
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1KYFY0009,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYJS0009,10
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYJS0009,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYSC0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYSC0001,3
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1KYSC0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYWF0003,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYWF0003,3
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1KYWF0003,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYWF0006,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYWF0006,0
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00153194,0
",,R,",PRCP,2018-01-01T00:00:00,GHCND:USW00063838,0
",,R,",TMAX,2018-01-01T00:00:00,GHCND:USW00063838,-86
",,R,",TMIN,2018-01-01T00:00:00,GHCND:USW00063838,-170
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00093820,32
"T,,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00093820,0
"T,,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00093820,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00093820,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00093820,-114
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00093820,-77
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00093820,-160
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00093820,270
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00093820,290
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00093820,67
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00093820,98
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00093820,1
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYFY0003,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KYFY0003,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYFY0009,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KYFY0009,0
"T,,N,",SNWD,2018-01-02T00:00:00,GHCND:US1KYFY0009,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYJS0009,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KYJS0009,0
