,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKBV0005,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKBV0005,0
2,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00142432,0
3,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00142432,0
4,",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00142432,0
5,",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00142432,-83
6,",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00142432,-194
7,",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00142432,-161
8,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00144695,0
9,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00144695,0
10,",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00144695,0
11,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00144695,-89
12,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00144695,-178
13,",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00144695,-178
14,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1OKBV0005,0
15,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1OKBV0005,0
16,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00142432,0
17,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00142432,0
18,",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00142432,0
19,",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00142432,-56
20,",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00142432,-189
21,",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00142432,-156
22,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00144695,0
23,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00144695,0
24,",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00144695,0
25,",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00144695,-83
26,",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00144695,-178
27,",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00144695,-172
28,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1OKBV0005,0
29,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1OKBV0005,0
30,",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00142432,0
31,",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00142432,0
32,",,7,0800",SNWD,2018-01-03T00:00:00,GHCND:USC00142432,0
33,",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00142432,17
34,",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00142432,-161
35,",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00142432,-61
36,",,7,0700",PRCP,2018-01-03T00:00:00,GHCND:USC00144695,0
37,",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00144695,0
38,",,7,0700",SNWD,2018-01-03T00:00:00,GHCND:USC00144695,0
39,",,7,0700",TMAX,2018-01-03T00:00:00,GHCND:USC00144695,-28
40,",,7,0700",TMIN,2018-01-03T00:00:00,GHCND:USC00144695,-178
41,",,7,0700",TOBS,2018-01-03T00:00:00,GHCND:USC00144695,-67
42,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1OKBV0005,0
43,",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1OKBV0005,0
44,",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00142432,0
45,",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00142432,0
46,",,7,0800",SNWD,2018-01-04T00:00:00,GHCND:USC00142432,0
47,",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00142432,106
48,",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00142432,-72
49,",,7,0800",TOBS,2018-01-04T00:00:00,GHCND:USC00142432,-72
50,",,7,0700",PRCP,2018-01-04T00:00:00,GHCND:USC00144695,0
51,",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00144695,0
52,",,7,0700",SNWD,2018-01-04T00:00:00,GHCND:USC00144695,0
53,",,7,0700",TMAX,2018-01-04T00:00:00,GHCND:USC00144695,106
54,",,7,0700",TMIN,2018-01-04T00:00:00,GHCND:USC00144695,-83
55,",,7,0700",TOBS,2018-01-04T00:00:00,GHCND:USC00144695,-61
56,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1OKBV0005,0
57,",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1OKBV0005,0
58,",,7,0800",PRCP,2018-01-05T00:00:00,GHCND:USC00142432,0
59,",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00142432,0
60,",,7,0800",SNWD,2018-01-05T00:00:00,GHCND:USC00142432,0
61,",,7,0800",TMAX,2018-01-05T00:00:00,GHCND:USC00142432,117
62,",,7,0800",TMIN,2018-01-05T00:00:00,GHCND:USC00142432,-83
63,",,7,0800",TOBS,2018-01-05T00:00:00,GHCND:USC00142432,-39
64,",,7,0700",PRCP,2018-01-05T00:00:00,GHCND:USC00144695,0
65,",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00144695,0
66,",,7,0700",SNWD,2018-01-05T00:00:00,GHCND:USC00144695,0
67,",,7,0700",TMAX,2018-01-05T00:00:00,GHCND:USC00144695,83
68,",,7,0700",TMIN,2018-01-05T00:00:00,GHCND:USC00144695,-83
69,",,7,0700",TOBS,2018-01-05T00:00:00,GHCND:USC00144695,-83
70,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1OKBV0005,0
71,",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1OKBV0005,0
72,",,7,0800",PRCP,2018-01-06T00:00:00,GHCND:USC00142432,0
73,",,7,",SNOW,2018-01-06T00:00:00,GHCND:USC00142432,0
74,",,7,0800",SNWD,2018-01-06T00:00:00,GHCND:USC00142432,0
75,",,7,0800",TMAX,2018-01-06T00:00:00,GHCND:USC00142432,122
76,",,7,0800",TMIN,2018-01-06T00:00:00,GHCND:USC00142432,-50
77,",,7,0800",TOBS,2018-01-06T00:00:00,GHCND:USC00142432,-28
78,",,7,0700",PRCP,2018-01-06T00:00:00,GHCND:USC00144695,0
79,",,7,",SNOW,2018-01-06T00:00:00,GHCND:USC00144695,0
80,",,7,0700",SNWD,2018-01-06T00:00:00,GHCND:USC00144695,0
81,",,7,0700",TMAX,2018-01-06T00:00:00,GHCND:USC00144695,100
82,",,7,0700",TMIN,2018-01-06T00:00:00,GHCND:USC00144695,-100
83,",,7,0700",TOBS,2018-01-06T00:00:00,GHCND:USC00144695,-72
84,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1OKBV0005,0
85,",,N,",SNOW,2018-01-07T00:00:00,GHCND:US1OKBV0005,0
86,",,7,0800",PRCP,2018-01-07T00:00:00,GHCND:USC00142432,0
87,",,7,",SNOW,2018-01-07T00:00:00,GHCND:USC00142432,0
88,",,7,0800",SNWD,2018-01-07T00:00:00,GHCND:USC00142432,0
89,",,7,0800",TMAX,2018-01-07T00:00:00,GHCND:USC00142432,128
90,",,7,0800",TMIN,2018-01-07T00:00:00,GHCND:USC00142432,-28
91,",,7,0800",TOBS,2018-01-07T00:00:00,GHCND:USC00142432,39
92,",,7,0700",PRCP,2018-01-07T00:00:00,GHCND:USC00144695,0
93,",,7,",SNOW,2018-01-07T00:00:00,GHCND:USC00144695,0
94,",,7,0700",SNWD,2018-01-07T00:00:00,GHCND:USC00144695,0
95,",,7,0700",TMAX,2018-01-07T00:00:00,GHCND:USC00144695,100
96,",,7,0700",TMIN,2018-01-07T00:00:00,GHCND:USC00144695,-78
97,",,7,0700",TOBS,2018-01-07T00:00:00,GHCND:USC00144695,0
98,",,N,",PRCP,2018-01-08T00:00:00,GHCND:US1OKBV0005,0
99,",,N,",SNOW,2018-01-08T00:00:00,GHCND:US1OKBV0005,0
100,",,7,0800",PRCP,2018-01-08T00:00:00,GHCND:USC00142432,0
101,",,7,",SNOW,2018-01-08T00:00:00,GHCND:USC00142432,0
102,",,7,0800",SNWD,2018-01-08T00:00:00,GHCND:USC00142432,0
103,",,7,0800",TMAX,2018-01-08T00:00:00,GHCND:USC00142432,128
104,",,7,0800",TMIN,2018-01-08T00:00:00,GHCND:USC00142432,-33
105,",,7,0800",TOBS,2018-01-08T00:00:00,GHCND:USC00142432,-28
106,",,7,0700",PRCP,2018-01-08T00:00:00,GHCND:USC00144695,0
107,",,7,",SNOW,2018-01-08T00:00:00,GHCND:USC00144695,0
108,",,7,0700",SNWD,2018-01-08T00:00:00,GHCND:USC00144695,0
109,",,7,0700",TMAX,2018-01-08T00:00:00,GHCND:USC00144695,144
110,",,7,0700",TMIN,2018-01-08T00:00:00,GHCND:USC00144695,-50
111,",,7,0700",TOBS,2018-01-08T00:00:00,GHCND:USC00144695,-50
112,",,N,",PRCP,2018-01-09T00:00:00,GHCND:US1OKBV0005,0
113,",,N,",SNOW,2018-01-09T00:00:00,GHCND:US1OKBV0005,0
114,",,7,0800",PRCP,2018-01-09T00:00:00,GHCND:USC00142432,0
115,",,7,",SNOW,2018-01-09T00:00:00,GHCND:USC00142432,0
116,",,7,0800",SNWD,2018-01-09T00:00:00,GHCND:USC00142432,0
117,",,7,0800",TMAX,2018-01-09T00:00:00,GHCND:USC00142432,144
118,",,7,0800",TMIN,2018-01-09T00:00:00,GHCND:USC00142432,-28
119,",,7,0800",TOBS,2018-01-09T00:00:00,GHCND:USC00142432,61
120,"T,,7,0700",PRCP,2018-01-09T00:00:00,GHCND:USC00144695,0
121,",,7,",SNOW,2018-01-09T00:00:00,GHCND:USC00144695,0
122,",,7,0700",SNWD,2018-01-09T00:00:00,GHCND:USC00144695,0
123,",,7,0700",TMAX,2018-01-09T00:00:00,GHCND:USC00144695,161
124,",,7,0700",TMIN,2018-01-09T00:00:00,GHCND:USC00144695,-56
125,",,7,0700",TOBS,2018-01-09T00:00:00,GHCND:USC00144695,67
126,",,N,",PRCP,2018-01-10T00:00:00,GHCND:US1OKBV0005,0
127,",,N,",SNOW,2018-01-10T00:00:00,GHCND:US1OKBV0005,0
128,",,7,0800",PRCP,2018-01-10T00:00:00,GHCND:USC00142432,0
129,",,7,",SNOW,2018-01-10T00:00:00,GHCND:USC00142432,0
130,",,7,0800",SNWD,2018-01-10T00:00:00,GHCND:USC00142432,0
131,",,7,0800",TMAX,2018-01-10T00:00:00,GHCND:USC00142432,222
132,",,7,0800",TMIN,2018-01-10T00:00:00,GHCND:USC00142432,61
133,",,7,0800",TOBS,2018-01-10T00:00:00,GHCND:USC00142432,100
134,",,7,0700",PRCP,2018-01-10T00:00:00,GHCND:USC00144695,0
135,",,7,",SNOW,2018-01-10T00:00:00,GHCND:USC00144695,0
136,",,7,0700",SNWD,2018-01-10T00:00:00,GHCND:USC00144695,0
