,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CALA0003,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CALA0003,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CALA0010,0
3,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CALA0010,0
4,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CALA0044,0
5,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CALA0044,0
6,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CALA0068,0
7,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CALA0068,0
8,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CALA0078,0
9,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CALA0078,0
10,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CAOR0043,0
11,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CAOR0043,0
12,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00046663,0
13,",,7,1600",PRCP,2018-01-01T00:00:00,GHCND:USC00047326,0
14,",,7,1600",TMAX,2018-01-01T00:00:00,GHCND:USC00047326,189
15,",,7,1600",TMIN,2018-01-01T00:00:00,GHCND:USC00047326,78
16,",,7,1600",TOBS,2018-01-01T00:00:00,GHCND:USC00047326,156
17,",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000CWHH,157
18,"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000CWHH,222
19,"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000CWHH,117
20,",,7,1600",PRCP,2018-01-01T00:00:00,GHCND:USW00003122,0
21,",,7,1600",TMAX,2018-01-01T00:00:00,GHCND:USW00003122,189
22,",,7,1600",TMIN,2018-01-01T00:00:00,GHCND:USW00003122,78
23,",,7,1600",TOBS,2018-01-01T00:00:00,GHCND:USW00003122,156
24,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00003166,7
25,",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00003166,0
26,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00003166,0
27,",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00003166,0
28,",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00003166,217
29,",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00003166,72
30,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00003166,190
31,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00003166,190
32,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00003166,31
33,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00003166,45
34,",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00003166,1
35,",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00003166,1
36,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00003167,6
37,",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00003167,0
38,",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00003167,0
39,",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00003167,211
40,",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00003167,94
41,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00003167,260
42,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00003167,250
43,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00003167,54
44,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00003167,63
45,",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00003167,1
46,",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00003167,1
47,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00023129,6
48,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00023129,0
49,",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00023129,0
50,",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00023129,0
51,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00023129,131
52,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00023129,211
53,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00023129,78
54,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00023129,310
55,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00023129,310
56,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00023129,45
57,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00023129,49
58,",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00023129,1
59,",,W,",WT02,2018-01-01T00:00:00,GHCND:USW00023129,1
60,",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00023129,1
61,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CALA0003,0
62,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CALA0003,0
63,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CALA0010,0
64,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CALA0010,0
65,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CALA0044,0
66,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CALA0044,0
67,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CALA0068,0
68,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CALA0068,0
69,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CALA0075,0
70,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CALA0078,0
71,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CALA0078,0
72,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CAOR0043,0
73,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CAOR0043,0
74,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00046663,0
75,",,7,1600",PRCP,2018-01-02T00:00:00,GHCND:USC00047326,0
76,",,7,1600",TMAX,2018-01-02T00:00:00,GHCND:USC00047326,228
77,",,7,1600",TMIN,2018-01-02T00:00:00,GHCND:USC00047326,111
78,",,7,1600",TOBS,2018-01-02T00:00:00,GHCND:USC00047326,161
79,",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000CWHH,194
80,"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000CWHH,272
81,"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000CWHH,122
82,",,7,1600",PRCP,2018-01-02T00:00:00,GHCND:USW00003122,0
83,",,7,1600",TMAX,2018-01-02T00:00:00,GHCND:USW00003122,222
84,",,7,1600",TMIN,2018-01-02T00:00:00,GHCND:USW00003122,106
85,",,7,1600",TOBS,2018-01-02T00:00:00,GHCND:USW00003122,161
86,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00003166,7
87,",,W,",PRCP,2018-01-02T00:00:00,GHCND:USW00003166,0
88,",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00003166,0
89,",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00003166,0
