attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHHL0049,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHHL0049,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NHHL0049,203
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1NHHL0049,356
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHHL0077,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHHL0077,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHHL0084,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHHL0084,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHMR0004,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHMR0004,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NHMR0004,279
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHMR0009,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHMR0015,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHMR0015,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHMR0047,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHMR0047,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHRC0018,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHRC0018,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NHRC0018,292
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHRC0060,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHRC0060,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHRC0065,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHRC0065,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NHRC0065,328
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1NHRC0065,429
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1NHRC0065,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NHRC0071,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NHRC0071,0
",,7,0730",PRCP,2018-01-01T00:00:00,GHCND:USC00272302,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00272302,0
",,7,0730",SNWD,2018-01-01T00:00:00,GHCND:USC00272302,203
",,7,0730",TMAX,2018-01-01T00:00:00,GHCND:USC00272302,-128
",,7,0730",TMIN,2018-01-01T00:00:00,GHCND:USC00272302,-206
",,7,0730",TOBS,2018-01-01T00:00:00,GHCND:USC00272302,-200
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00274234,0
",,7,0700",SN52,2018-01-01T00:00:00,GHCND:USC00274234,6
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00274234,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00274234,178
",,7,0700",SX52,2018-01-01T00:00:00,GHCND:USC00274234,6
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00274234,-122
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00274234,-222
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00274234,-206
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00275211,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00275211,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00275211,203
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00275211,-133
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00275211,-211
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00275211,-189
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00275712,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00275712,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00275712,127
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00275712,-117
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00275712,-206
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00275712,-194
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00279278,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00279278,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00279278,178
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00279278,-117
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00279278,-211
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00279278,-200
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014710,53
",,W,",PGTM,2018-01-01T00:00:00,GHCND:USW00014710,1248
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014710,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014710,0
",,W,2400",SNWD,2018-01-01T00:00:00,GHCND:USW00014710,130
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014710,-121
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014710,-199
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014710,320
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014710,320
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014710,112
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014710,170
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014745,51
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014745,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014745,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014745,300
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014745,-180
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014745,-138
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014745,-238
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014745,300
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014745,310
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014745,107
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014745,130
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NHHL0049,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NHHL0049,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NHHL0049,203
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NHHL0077,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NHHL0077,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NHHL0084,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NHHL0084,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NHMR0004,0
