attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LAOC0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1LAOC0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LAOC0014,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1LAOC0014,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LAOC0016,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1LAOC0016,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LAOC0023,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1LAOC0023,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LAUN0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1LAUN0002,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00169631,0
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013942,58
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013942,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00013942,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00013942,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013942,-5
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013942,-77
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013942,10
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013942,20
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013942,94
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013942,116
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1LAOC0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1LAOC0001,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1LAOC0014,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1LAOC0014,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1LAOC0016,0
