attributes,datatype,date,station,value
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00203295,5
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00203295,15
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00203295,279
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00203295,-78
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00203295,-122
",,7,1800",PRCP,2018-01-01T00:00:00,GHCND:USC00205567,15
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00205567,71
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00205567,406
",,7,1800",TMAX,2018-01-01T00:00:00,GHCND:USC00205567,-111
",,7,1800",TMIN,2018-01-01T00:00:00,GHCND:USC00205567,-144
",,7,1800",TOBS,2018-01-01T00:00:00,GHCND:USC00205567,-111
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014840,41
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014840,38
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014840,81
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014840,410
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014840,-113
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014840,-88
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014840,-127
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014840,330
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014840,340
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014840,72
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014840,94
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00014840,1
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MIMG0018,8
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00203295,13
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00203295,30
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00203295,254
",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00203295,-67
