attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCGT0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCGT0002,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCGT0019,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0014,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0020,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0020,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0027,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0027,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0039,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0039,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0046,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0046,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0061,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0061,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0063,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0063,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0064,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0064,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0066,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0067,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0067,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0073,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SCHR0073,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SCHR0075,0
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00386153,0
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00386153,-44
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00386153,-44
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00093718,51
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00093718,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00093718,-5
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00093718,-66
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00093718,30
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00093718,30
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00093718,98
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00093718,139
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCGT0002,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCGT0002,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCGT0019,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0014,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0027,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCHR0027,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0039,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCHR0039,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0046,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCHR0046,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0061,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCHR0061,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0063,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCHR0063,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0064,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCHR0064,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0066,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0067,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCHR0067,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0073,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SCHR0073,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SCHR0075,0
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00386153,0
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00386153,-89
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00386153,-83
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00093718,35
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00093718,0
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00093718,17
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00093718,-77
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00093718,30
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00093718,20
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00093718,94
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00093718,130
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCGT0002,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCGT0002,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCGT0019,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0014,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0020,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0020,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0027,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0027,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0039,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0039,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0046,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0046,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0061,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0061,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0063,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0063,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0064,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0064,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0066,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0067,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0067,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0073,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SCHR0073,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SCHR0075,0
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00386153,0
",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00386153,6
",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00386153,-83
",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00386153,-50
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00093718,48
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00093718,15
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00093718,11
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00093718,-49
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00093718,340
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00093718,340
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00093718,98
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00093718,148
",,W,",WT01,2018-01-03T00:00:00,GHCND:USW00093718,1
",,W,",WT06,2018-01-03T00:00:00,GHCND:USW00093718,1
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1SCGT0002,13
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCGT0019,76
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0014,104
"T,,N,",SNWD,2018-01-04T00:00:00,GHCND:US1SCHR0014,0
",,N,",WESD,2018-01-04T00:00:00,GHCND:US1SCHR0014,104
",,N,",WESF,2018-01-04T00:00:00,GHCND:US1SCHR0014,104
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0020,13
"T,,N,",SNOW,2018-01-04T00:00:00,GHCND:US1SCHR0020,0
"T,,N,",SNWD,2018-01-04T00:00:00,GHCND:US1SCHR0020,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0027,5
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0039,64
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0046,53
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1SCHR0046,5
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1SCHR0046,5
",,N,",WESD,2018-01-04T00:00:00,GHCND:US1SCHR0046,28
",,N,",WESF,2018-01-04T00:00:00,GHCND:US1SCHR0046,28
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0061,33
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1SCHR0061,13
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0063,112
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0066,81
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0067,56
"T,,N,",SNOW,2018-01-04T00:00:00,GHCND:US1SCHR0067,0
"T,,N,",WESF,2018-01-04T00:00:00,GHCND:US1SCHR0067,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0073,89
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1SCHR0073,5
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1SCHR0073,5
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SCHR0075,46
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1SCHR0075,5
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1SCHR0075,13
",,N,",WESD,2018-01-04T00:00:00,GHCND:US1SCHR0075,46
",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00386153,6
",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00386153,-89
",,7,0800",TOBS,2018-01-04T00:00:00,GHCND:USC00386153,-61
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00093718,44
",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00093718,0
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00093718,39
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00093718,-49
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00093718,320
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00093718,290
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00093718,76
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00093718,125
",,W,",WT01,2018-01-04T00:00:00,GHCND:USW00093718,1
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCGT0019,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0014,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0020,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1SCHR0020,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0027,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1SCHR0027,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0039,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1SCHR0039,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0046,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1SCHR0046,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0061,3
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0063,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1SCHR0063,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0066,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0067,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1SCHR0067,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0073,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1SCHR0073,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1SCHR0075,0
",,7,0800",TMAX,2018-01-05T00:00:00,GHCND:USC00386153,28
",,7,0800",TMIN,2018-01-05T00:00:00,GHCND:USC00386153,-89
",,7,0800",TOBS,2018-01-05T00:00:00,GHCND:USC00386153,-89
",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00093718,18
",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00093718,0
",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00093718,33
",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00093718,-77
",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00093718,310
",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00093718,300
",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00093718,58
",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00093718,85
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCGT0019,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0014,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0020,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1SCHR0020,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0027,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1SCHR0027,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0039,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1SCHR0039,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0046,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1SCHR0046,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0061,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1SCHR0061,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0063,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1SCHR0063,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0066,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0067,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1SCHR0067,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0073,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1SCHR0073,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1SCHR0075,0
",,7,0800",PRCP,2018-01-06T00:00:00,GHCND:USC00386153,0
",,7,0800",TMAX,2018-01-06T00:00:00,GHCND:USC00386153,28
",,7,0800",TMIN,2018-01-06T00:00:00,GHCND:USC00386153,-89
",,7,0800",TOBS,2018-01-06T00:00:00,GHCND:USC00386153,-83
",,W,",AWND,2018-01-06T00:00:00,GHCND:USW00093718,30
",,W,2400",PRCP,2018-01-06T00:00:00,GHCND:USW00093718,0
",,W,2400",TMAX,2018-01-06T00:00:00,GHCND:USW00093718,11
",,W,2400",TMIN,2018-01-06T00:00:00,GHCND:USW00093718,-77
