attributes,datatype,date,station,value
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US10linc060,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NELC0002,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NELC0002,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NELC0012,0
"T,,7,0600",PRCP,2018-01-01T00:00:00,GHCND:USC00253810,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00253810,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00253810,102
",,7,0600",TMAX,2018-01-01T00:00:00,GHCND:USC00253810,-178
",,7,0600",TMIN,2018-01-01T00:00:00,GHCND:USC00253810,-206
",,7,0600",TOBS,2018-01-01T00:00:00,GHCND:USC00253810,-206
"T,,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00256075,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00256075,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00256075,102
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00256075,-183
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00256075,-206
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00256075,-183
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00024023,33
"T,,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00024023,0
"T,,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00024023,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00024023,80
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00024023,-163
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00024023,-121
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00024023,-221
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00024023,130
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00024023,130
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00024023,63
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00024023,72
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00024023,1
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US10linc060,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US10linc060,0
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NELC0002,0
"T,,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NELC0002,0
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NELC0012,0
",,7,0600",PRCP,2018-01-02T00:00:00,GHCND:USC00253810,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00253810,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00253810,102
",,7,0600",TMAX,2018-01-02T00:00:00,GHCND:USC00253810,-133
",,7,0600",TMIN,2018-01-02T00:00:00,GHCND:USC00253810,-244
",,7,0600",TOBS,2018-01-02T00:00:00,GHCND:USC00253810,-233
"T,,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00256075,0
"T,,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00256075,0
",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00256075,76
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00256075,-133
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00256075,-244
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00256075,-222
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00024023,31
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00024023,0
",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00024023,0
",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00024023,80
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00024023,-174
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00024023,-49
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00024023,-243
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00024023,270
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00024023,280
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00024023,67
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00024023,76
",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00024023,1
",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00024023,1
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US10linc060,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1NELC0002,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1NELC0002,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1NELC0012,0
",,7,0600",PRCP,2018-01-03T00:00:00,GHCND:USC00253810,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00253810,0
",,7,",SNWD,2018-01-03T00:00:00,GHCND:USC00253810,102
",,7,0600",TMAX,2018-01-03T00:00:00,GHCND:USC00253810,-56
",,7,0600",TMIN,2018-01-03T00:00:00,GHCND:USC00253810,-239
",,7,0600",TOBS,2018-01-03T00:00:00,GHCND:USC00253810,-100
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00256075,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00256075,0
",,7,0800",SNWD,2018-01-03T00:00:00,GHCND:USC00256075,76
",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00256075,-17
",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00256075,-222
",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00256075,-78
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00024023,22
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00024023,0
",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00024023,0
",,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00024023,80
"H,,S,",TAVG,2018-01-03T00:00:00,GHCND:USW00024023,-85
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00024023,-5
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00024023,-160
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00024023,300
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00024023,290
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00024023,58
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00024023,58
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US10linc003,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US10linc060,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1NELC0002,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1NELC0002,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1NELC0012,0
",,7,0600",PRCP,2018-01-04T00:00:00,GHCND:USC00253810,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00253810,0
",,7,",SNWD,2018-01-04T00:00:00,GHCND:USC00253810,76
",,7,0600",TMAX,2018-01-04T00:00:00,GHCND:USC00253810,-11
",,7,0600",TMIN,2018-01-04T00:00:00,GHCND:USC00253810,-111
",,7,0600",TOBS,2018-01-04T00:00:00,GHCND:USC00253810,-94
",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00256075,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00256075,0
",,7,0800",SNWD,2018-01-04T00:00:00,GHCND:USC00256075,76
",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00256075,-28
",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00256075,-78
",,7,0800",TOBS,2018-01-04T00:00:00,GHCND:USC00256075,-67
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00024023,21
",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00024023,0
",,W,",SNOW,2018-01-04T00:00:00,GHCND:USW00024023,0
",,W,",SNWD,2018-01-04T00:00:00,GHCND:USW00024023,80
"H,,S,",TAVG,2018-01-04T00:00:00,GHCND:USW00024023,-51
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00024023,39
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00024023,-138
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00024023,290
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00024023,290
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00024023,54
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00024023,54
",,W,",WT01,2018-01-04T00:00:00,GHCND:USW00024023,1
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US10linc060,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1NELC0002,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1NELC0002,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1NELC0012,0
",,7,0600",PRCP,2018-01-05T00:00:00,GHCND:USC00253810,0
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00253810,0
",,7,",SNWD,2018-01-05T00:00:00,GHCND:USC00253810,76
",,7,0600",TMAX,2018-01-05T00:00:00,GHCND:USC00253810,33
",,7,0600",TMIN,2018-01-05T00:00:00,GHCND:USC00253810,-111
",,7,0600",TOBS,2018-01-05T00:00:00,GHCND:USC00253810,-83
",,7,",WT01,2018-01-05T00:00:00,GHCND:USC00253810,1
",,7,0800",PRCP,2018-01-05T00:00:00,GHCND:USC00256075,0
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00256075,0
",,7,0800",SNWD,2018-01-05T00:00:00,GHCND:USC00256075,76
",,7,0800",TMAX,2018-01-05T00:00:00,GHCND:USC00256075,28
",,7,0800",TMIN,2018-01-05T00:00:00,GHCND:USC00256075,-100
",,7,0800",TOBS,2018-01-05T00:00:00,GHCND:USC00256075,-89
",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00024023,34
",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00024023,0
",,W,",SNOW,2018-01-05T00:00:00,GHCND:USW00024023,0
",,W,",SNWD,2018-01-05T00:00:00,GHCND:USW00024023,50
"H,,S,",TAVG,2018-01-05T00:00:00,GHCND:USW00024023,-73
",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00024023,-55
",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00024023,-110
",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00024023,110
",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00024023,110
",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00024023,72
