attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTDV0024,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTDV0024,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTWB0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTWB0001,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1UTWB0001,25
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTWB0003,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTWB0003,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTWB0007,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTWB0007,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTWB0018,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTWB0018,0
",,7,1800",PRCP,2018-01-01T00:00:00,GHCND:USC00422389,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00422389,0
",,7,1800",SNWD,2018-01-01T00:00:00,GHCND:USC00422389,152
",,7,1800",TMAX,2018-01-01T00:00:00,GHCND:USC00422389,17
",,7,1800",TMIN,2018-01-01T00:00:00,GHCND:USC00422389,-122
",,7,1800",TOBS,2018-01-01T00:00:00,GHCND:USC00422389,-39
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00426405,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00426405,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00426405,51
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00426405,50
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00426405,-50
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00426405,-50
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00426869,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00426869,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00426869,305
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00426869,0
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00426869,-139
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00426869,-111
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00429346,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00429346,0
",,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00429346,178
",,7,",TMAX,2018-01-01T00:00:00,GHCND:USC00429346,44
",,7,",TMIN,2018-01-01T00:00:00,GHCND:USC00429346,-72
",,7,",TOBS,2018-01-01T00:00:00,GHCND:USC00429346,-28
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000BUES,8
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000BUES,83
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000BUES,-33
",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0011H08S,0
",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0011H08S,406
",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0011H08S,-6
",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0011H08S,22
",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0011H08S,-33
",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0011H08S,-17
",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0011H08S,1448
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00024126,21
",,W,",PGTM,2018-01-01T00:00:00,GHCND:USW00024126,919
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00024126,0
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00024126,56
