attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCN0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCN0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCN0027,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCN0029,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCN0029,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCN0031,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCN0032,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCN0032,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0004,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0004,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0012,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0012,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1OKCV0012,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0032,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0032,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0045,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0045,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0050,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0050,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0052,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0052,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0053,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0053,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1OKCV0053,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0061,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0061,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1OKCV0061,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0079,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0079,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1OKCV0079,0
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1OKCV0079,0
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1OKCV0079,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0084,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0091,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0091,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0092,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0092,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1OKCV0092,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0114,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0114,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1OKCV0114,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0117,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0117,0
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1OKCV0117,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0118,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0118,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0119,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0126,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKCV0127,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKCV0127,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1OKCV0127,0
