attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US10doug025,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US10doug046,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US10doug059,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US10sarp012,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US10sarp031,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US10sarp031,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US10sarp031,51
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US10sarp039,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US10sarp039,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US10sarp039,51
",,N,",WESD,2018-01-01T00:00:00,GHCND:US10sarp039,25
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US10wash006,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1IAPT0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1IAPT0002,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1IAPT0007,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1IAPT0007,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1IAPT0013,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1IAPT0013,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1IAPT0013,64
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NEDG0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NEDG0001,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NEDG0001,64
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NEDG0006,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NEDG0006,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NEDG0008,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NEDG0008,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NEDG0008,51
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NEDG0018,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NEDG0018,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NEDG0018,64
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NESY0008,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NESY0009,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NESY0009,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NESY0009,74
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NESY0011,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NESY0011,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NESY0011,51
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NESY0016,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NEWS0002,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00250781,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00250781,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00250781,76
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00252980,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00252980,76
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00252980,-206
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00252980,-278
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00252980,-278
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00253467,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00253467,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00253467,76
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00253467,-206
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00253467,-278
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00253467,-272
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00256534,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00256534,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00256534,76
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00258088,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00258088,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00258088,76
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00258088,-200
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00258088,-300
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00258088,-289
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014942,19
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014942,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014942,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014942,100
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014942,-235
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014942,-177
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014942,-288
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014942,310
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014942,300
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014942,45
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014942,58
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00014942,1
",,W,",WT02,2018-01-01T00:00:00,GHCND:USW00014942,1
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00014942,1
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10doug025,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10doug046,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10doug059,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10sarp006,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10sarp016,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10sarp024,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10sarp031,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US10sarp031,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US10sarp031,51
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US10sarp039,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US10sarp039,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US10sarp039,51
",,N,",WESD,2018-01-02T00:00:00,GHCND:US10sarp039,25
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1IAPT0002,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1IAPT0002,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1IAPT0007,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1IAPT0013,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1IAPT0013,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1IAPT0013,64
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NEDG0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NEDG0001,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NEDG0001,64
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NEDG0006,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NEDG0006,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NEDG0008,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NEDG0008,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NEDG0008,38
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NEDG0018,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NEDG0018,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NEDG0018,51
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NESY0008,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NESY0009,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NESY0009,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NESY0009,74
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NESY0011,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NESY0011,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NESY0011,51
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NESY0016,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NEWS0002,0
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00250781,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00250781,0
",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00250781,76
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00252980,0
",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00252980,76
",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00252980,-189
",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00252980,-278
",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00252980,-217
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00253467,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00253467,0
",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00253467,76
",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00253467,-183
",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00253467,-278
",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00253467,-217
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00256534,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00256534,0
",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00256534,76
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00258088,0
",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00258088,51
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00258088,-178
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00258088,-289
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00258088,-222
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00014942,47
