attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KYDV0006,0
",,7,0600",PRCP,2018-01-01T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KYDV0006,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KYDV0009,0
",,7,0600",PRCP,2018-01-02T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1KYDV0006,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1KYDV0009,0
",,7,0600",PRCP,2018-01-03T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1KYDV0006,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KYDV0009,0
",,7,0600",PRCP,2018-01-04T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1KYDV0006,0
",,7,0600",PRCP,2018-01-05T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1KYDV0006,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1KYDV0009,0
",,7,0600",PRCP,2018-01-06T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-07T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-07T00:00:00,GHCND:US1KYDV0006,0
",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1KYDV0009,0
",,7,0600",PRCP,2018-01-07T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-08T00:00:00,GHCND:US1KYDV0003,102
",,N,",PRCP,2018-01-08T00:00:00,GHCND:US1KYDV0006,86
",,N,",PRCP,2018-01-08T00:00:00,GHCND:US1KYDV0009,124
",,7,0600",PRCP,2018-01-08T00:00:00,GHCND:USC00156094,112
",,N,",PRCP,2018-01-09T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-09T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-09T00:00:00,GHCND:US1KYDV0006,33
",,N,",PRCP,2018-01-09T00:00:00,GHCND:US1KYDV0009,5
",,7,0600",PRCP,2018-01-09T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-10T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-10T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-10T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-10T00:00:00,GHCND:US1KYDV0006,0
",,N,",PRCP,2018-01-10T00:00:00,GHCND:US1KYDV0009,0
",,7,0600",PRCP,2018-01-10T00:00:00,GHCND:USC00156094,0
",,N,",PRCP,2018-01-11T00:00:00,GHCND:US1KYDV0003,0
",,N,",SNOW,2018-01-11T00:00:00,GHCND:US1KYDV0003,0
",,N,",PRCP,2018-01-11T00:00:00,GHCND:US1KYDV0006,0
",,N,",SNOW,2018-01-11T00:00:00,GHCND:US1KYDV0006,0
",,N,",PRCP,2018-01-11T00:00:00,GHCND:US1KYDV0009,8
",,7,0600",PRCP,2018-01-11T00:00:00,GHCND:USC00156094,208
