attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0004,48
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0015,53
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0026,28
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0037,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0038,33
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0041,33
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0045,30
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0048,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLES0048,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLES0049,23
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLSR0004,38
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00086999,0
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000FNAV,-2
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000FNAV,39
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000FNAV,-28
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013899,77
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013899,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00013899,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00013899,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013899,39
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013899,-32
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013899,360
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013899,350
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013899,112
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013899,148
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLES0004,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLES0004,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLES0015,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLES0015,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLES0026,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLES0026,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLES0038,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLES0038,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLES0041,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLES0041,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLES0045,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLES0045,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLES0048,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLES0048,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLES0049,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLES0049,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLSR0004,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLSR0004,0
",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000FNAV,7
"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000FNAV,61
"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000FNAV,-50
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00013899,45
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00013899,0
",,H,",SNOW,2018-01-02T00:00:00,GHCND:USW00013899,0
