attributes,datatype,date,station,value
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASH0002,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASH0010,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASH0011,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASH0011,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASH0018,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASH0018,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASH0051,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASH0051,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASH0056,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASH0056,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASH0068,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASH0068,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASH0075,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASH0075,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CATH0029,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CATH0029,0
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00048135,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00048135,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00048135,0
",,7,0800",EVAP,2018-01-01T00:00:00,GHCND:USC00049621,3
",,7,",MNPN,2018-01-01T00:00:00,GHCND:USC00049621,44
",,7,",MXPN,2018-01-01T00:00:00,GHCND:USC00049621,100
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00049621,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00049621,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00049621,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00049621,161
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00049621,56
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00049621,89
",,7,",WDMV,2018-01-01T00:00:00,GHCND:USC00049621,14
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000CREA,99
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000CREA,217
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000CREA,17
",,R,",PRCP,2018-01-01T00:00:00,GHCND:USW00004222,0
",,R,",TMAX,2018-01-01T00:00:00,GHCND:USW00004222,202
",,R,",TMIN,2018-01-01T00:00:00,GHCND:USW00004222,54
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00024257,5
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00024257,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00024257,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00024257,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00024257,108
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00024257,211
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00024257,22
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00024257,140
