attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYMR0021,5
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYMR0021,15
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYMR0021,178
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYMR0023,25
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYMR0023,38
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYMR0023,229
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYMR0024,15
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYMR0024,13
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYMR0026,18
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYMR0026,165
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYMR0036,20
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYMR0050,15
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYMR0050,25
",,7,0900",PRCP,2018-01-01T00:00:00,GHCND:USC00300937,20
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00300937,38
",,7,0900",SNWD,2018-01-01T00:00:00,GHCND:USC00300937,330
",,7,0900",TMAX,2018-01-01T00:00:00,GHCND:USC00300937,-78
",,7,0900",TMIN,2018-01-01T00:00:00,GHCND:USC00300937,-183
",,7,0900",TOBS,2018-01-01T00:00:00,GHCND:USC00300937,-161
",,7,2000",PRCP,2018-01-01T00:00:00,GHCND:USC00309049,5
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00309049,13
",,7,2000",SNWD,2018-01-01T00:00:00,GHCND:USC00309049,229
",,7,2000",TMAX,2018-01-01T00:00:00,GHCND:USC00309049,-72
",,7,2000",TMIN,2018-01-01T00:00:00,GHCND:USC00309049,-178
",,7,2000",TOBS,2018-01-01T00:00:00,GHCND:USC00309049,-111
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014768,54
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014768,8
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014768,28
",,W,2400",SNWD,2018-01-01T00:00:00,GHCND:USW00014768,250
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014768,-141
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014768,-88
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014768,-199
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014768,270
