,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYSW0016,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYSW0016,0
2,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1WYSW0016,25
3,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYSW0019,0
4,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYSW0019,0
5,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYSW0026,0
6,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYSW0026,0
7,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYSW0030,0
8,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYSW0030,0
9,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1WYSW0030,0
10,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYSW0032,0
11,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYSW0032,0
12,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1WYSW0032,0
13,",,N,",WESF,2018-01-01T00:00:00,GHCND:US1WYSW0032,0
14,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00484065,0
15,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00484065,0
16,",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00484065,25
17,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00484065,11
18,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00484065,-144
19,",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00484065,-139
20,",,7,1700",PRCP,2018-01-01T00:00:00,GHCND:USC00487847,0
21,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00487847,0
22,",,7,1700",SNWD,2018-01-01T00:00:00,GHCND:USC00487847,25
23,",,7,1700",TMAX,2018-01-01T00:00:00,GHCND:USC00487847,28
24,",,7,1700",TMIN,2018-01-01T00:00:00,GHCND:USC00487847,-139
25,",,7,1700",TOBS,2018-01-01T00:00:00,GHCND:USC00487847,11
26,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00024027,37
27,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00024027,0
