attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CAPC0007,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CAPC0007,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CAPC0021,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CAPC0021,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASA0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASA0002,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASA0005,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASA0005,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASA0006,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASA0006,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASA0012,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASA0012,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASA0030,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASA0030,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASA0045,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASA0051,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASA0051,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASA0058,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASA0058,0
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00023232,5
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00023232,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00023232,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00023232,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00023232,95
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00023232,183
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00023232,33
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00023232,330
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00023232,350
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00023232,36
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00023232,45
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00023232,1
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00023232,1
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00023271,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00023271,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00023271,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00023271,183
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00023271,56
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00093225,12
",,W,",PGTM,2018-01-01T00:00:00,GHCND:USW00093225,2203
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00093225,0
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00093225,183
",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00093225,28
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00093225,10
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00093225,160
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00093225,40
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00093225,81
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CAPC0007,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CAPC0007,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CAPC0021,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CAPC0021,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CASA0002,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CASA0002,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CASA0005,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CASA0005,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CASA0006,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CASA0006,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CASA0012,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CASA0012,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CASA0030,0
