attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KSSA0006,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KSSA0007,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KSSA0007,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KSSA0011,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KSSA0011,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KSSA0013,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1KSSA0014,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1KSSA0014,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00141057,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00141057,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00141057,0
",,7,0600",PRCP,2018-01-01T00:00:00,GHCND:USC00141945,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00141945,0
",,7,0600",SNWD,2018-01-01T00:00:00,GHCND:USC00141945,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00147159,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00147159,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00147159,0
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00003919,22
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00003919,0
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00003919,-99
",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00003919,-205
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00003919,360
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00003919,10
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00003919,54
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00003919,58
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KSSA0006,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KSSA0007,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KSSA0007,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KSSA0011,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KSSA0011,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KSSA0013,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1KSSA0014,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1KSSA0014,0
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00141057,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00141057,0
",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00141057,0
",,7,0600",PRCP,2018-01-02T00:00:00,GHCND:USC00141945,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00141945,0
",,7,0600",SNWD,2018-01-02T00:00:00,GHCND:USC00141945,0
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00147159,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00147159,0
",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00147159,0
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00003919,32
",,W,",PRCP,2018-01-02T00:00:00,GHCND:USW00003919,0
",,W,",TMAX,2018-01-02T00:00:00,GHCND:USW00003919,-16
",,W,",TMIN,2018-01-02T00:00:00,GHCND:USW00003919,-171
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00003919,230
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00003919,230
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00003919,72
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00003919,89
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1KSSA0006,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1KSSA0007,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1KSSA0007,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1KSSA0011,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1KSSA0011,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1KSSA0013,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1KSSA0014,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1KSSA0014,0
",,7,0700",PRCP,2018-01-03T00:00:00,GHCND:USC00141057,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00141057,0
",,7,0700",SNWD,2018-01-03T00:00:00,GHCND:USC00141057,0
",,7,0600",PRCP,2018-01-03T00:00:00,GHCND:USC00141945,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00141945,0
",,7,0600",SNWD,2018-01-03T00:00:00,GHCND:USC00141945,0
",,7,0700",PRCP,2018-01-03T00:00:00,GHCND:USC00147159,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00147159,0
",,7,0700",SNWD,2018-01-03T00:00:00,GHCND:USC00147159,0
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00003919,36
",,W,",PRCP,2018-01-03T00:00:00,GHCND:USW00003919,0
",,W,",TMAX,2018-01-03T00:00:00,GHCND:USW00003919,17
",,W,",TMIN,2018-01-03T00:00:00,GHCND:USW00003919,-93
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00003919,360
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00003919,320
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00003919,72
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00003919,94
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KSDK0034,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1KSDK0034,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KSSA0006,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KSSA0007,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1KSSA0007,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KSSA0011,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1KSSA0011,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KSSA0013,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1KSSA0014,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1KSSA0014,0
",,7,0700",PRCP,2018-01-04T00:00:00,GHCND:USC00141057,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00141057,0
",,7,0700",SNWD,2018-01-04T00:00:00,GHCND:USC00141057,0
",,7,0600",PRCP,2018-01-04T00:00:00,GHCND:USC00141945,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00141945,0
",,7,0600",SNWD,2018-01-04T00:00:00,GHCND:USC00141945,0
",,7,0700",PRCP,2018-01-04T00:00:00,GHCND:USC00147159,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00147159,0
",,7,0700",SNWD,2018-01-04T00:00:00,GHCND:USC00147159,0
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00003919,29
",,W,",PRCP,2018-01-04T00:00:00,GHCND:USW00003919,0
",,W,",TMAX,2018-01-04T00:00:00,GHCND:USW00003919,56
",,W,",TMIN,2018-01-04T00:00:00,GHCND:USW00003919,-116
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00003919,190
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00003919,200
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00003919,81
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00003919,98
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1KSDK0034,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1KSDK0034,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1KSSA0006,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1KSSA0007,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1KSSA0007,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1KSSA0011,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1KSSA0011,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1KSSA0013,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1KSSA0014,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1KSSA0014,0
",,7,0700",PRCP,2018-01-05T00:00:00,GHCND:USC00141057,0
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00141057,0
",,7,0700",SNWD,2018-01-05T00:00:00,GHCND:USC00141057,0
",,7,0600",PRCP,2018-01-05T00:00:00,GHCND:USC00141945,0
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00141945,0
",,7,0600",SNWD,2018-01-05T00:00:00,GHCND:USC00141945,0
",,7,0700",PRCP,2018-01-05T00:00:00,GHCND:USC00147159,0
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00147159,0
",,7,0700",SNWD,2018-01-05T00:00:00,GHCND:USC00147159,0
",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00003919,35
",,W,",PRCP,2018-01-05T00:00:00,GHCND:USW00003919,0
",,W,",TMAX,2018-01-05T00:00:00,GHCND:USW00003919,0
",,W,",TMIN,2018-01-05T00:00:00,GHCND:USW00003919,-82
",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00003919,10
",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00003919,80
",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00003919,58
",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00003919,72
",,W,",WT08,2018-01-05T00:00:00,GHCND:USW00003919,1
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1KSDK0034,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1KSDK0034,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1KSSA0006,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1KSSA0007,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1KSSA0007,0
