attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLSJ0004,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLSJ0016,18
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLSJ0020,10
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLSJ0023,18
",,H,0900",PRCP,2018-01-01T00:00:00,GHCND:USC00082915,5
",,H,0900",TMAX,2018-01-01T00:00:00,GHCND:USC00082915,172
",,H,0900",TMIN,2018-01-01T00:00:00,GHCND:USC00082915,67
",,H,0900",TOBS,2018-01-01T00:00:00,GHCND:USC00082915,67
",,H,0500",PRCP,2018-01-01T00:00:00,GHCND:USC00083874,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USC00083874,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USC00083874,0
",,H,0500",TMAX,2018-01-01T00:00:00,GHCND:USC00083874,194
",,H,0500",TMIN,2018-01-01T00:00:00,GHCND:USC00083874,44
",,H,0500",TOBS,2018-01-01T00:00:00,GHCND:USC00083874,100
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLSJ0004,28
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLSJ0016,23
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLSJ0023,10
",,H,0900",PRCP,2018-01-02T00:00:00,GHCND:USC00082915,3
",,H,0900",TMAX,2018-01-02T00:00:00,GHCND:USC00082915,67
",,H,0900",TMIN,2018-01-02T00:00:00,GHCND:USC00082915,22
",,H,0900",TOBS,2018-01-02T00:00:00,GHCND:USC00082915,28
",,H,0500",PRCP,2018-01-02T00:00:00,GHCND:USC00083874,20
",,H,",SNOW,2018-01-02T00:00:00,GHCND:USC00083874,0
",,H,",SNWD,2018-01-02T00:00:00,GHCND:USC00083874,0
",,H,0500",TMAX,2018-01-02T00:00:00,GHCND:USC00083874,111
",,H,0500",TMIN,2018-01-02T00:00:00,GHCND:USC00083874,28
",,H,0500",TOBS,2018-01-02T00:00:00,GHCND:USC00083874,28
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLSJ0004,48
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLSJ0016,48
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLSJ0020,94
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLSJ0023,56
",,H,0900",PRCP,2018-01-03T00:00:00,GHCND:USC00082915,81
",,H,0900",TMAX,2018-01-03T00:00:00,GHCND:USC00082915,83
",,H,0900",TMIN,2018-01-03T00:00:00,GHCND:USC00082915,28
",,H,0900",TOBS,2018-01-03T00:00:00,GHCND:USC00082915,28
",,H,0500",PRCP,2018-01-03T00:00:00,GHCND:USC00083874,48
",,H,",SNOW,2018-01-03T00:00:00,GHCND:USC00083874,0
",,H,",SNWD,2018-01-03T00:00:00,GHCND:USC00083874,0
",,H,0500",TMAX,2018-01-03T00:00:00,GHCND:USC00083874,94
",,H,0500",TMIN,2018-01-03T00:00:00,GHCND:USC00083874,22
",,H,0500",TOBS,2018-01-03T00:00:00,GHCND:USC00083874,61
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1FLSJ0004,259
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1FLSJ0016,287
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1FLSJ0020,178
