,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSR0004,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSR0004,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSR0009,0
3,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSR0009,0
4,",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MNSR0009,0
5,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNSR0020,0
6,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNSR0020,0
7,",,7,1830",PRCP,2018-01-01T00:00:00,GHCND:USC00211691,0
8,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00211691,0
9,",,7,1830",SNWD,2018-01-01T00:00:00,GHCND:USC00211691,102
10,",,7,1830",TMAX,2018-01-01T00:00:00,GHCND:USC00211691,-172
11,",,7,1830",TMIN,2018-01-01T00:00:00,GHCND:USC00211691,-267
12,",,7,1830",TOBS,2018-01-01T00:00:00,GHCND:USC00211691,-206
13,",,7,0600",PRCP,2018-01-01T00:00:00,GHCND:USC00214373,0
14,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00214373,0
15,",,7,0600",SNWD,2018-01-01T00:00:00,GHCND:USC00214373,51
16,",,7,0600",TMAX,2018-01-01T00:00:00,GHCND:USC00214373,-206
17,",,7,0600",TMIN,2018-01-01T00:00:00,GHCND:USC00214373,-306
18,",,7,0600",TOBS,2018-01-01T00:00:00,GHCND:USC00214373,-272
19,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00216920,0
20,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00216920,0
21,",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00216920,76
22,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00216920,-206
23,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00216920,-317
24,",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00216920,-283
25,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014926,26
26,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014926,0
27,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014926,0
28,",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014926,80
29,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014926,-236
30,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014926,-166
31,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014926,-282
32,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014926,290
