attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTWG0005,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTWG0005,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTWG0015,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTWG0015,0
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00427516,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00427516,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00427516,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00427516,128
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00427516,-28
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00427516,-28
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1UTWG0005,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1UTWG0005,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1UTWG0015,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1UTWG0015,0
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00427516,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00427516,0
",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00427516,0
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00427516,139
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00427516,-28
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00427516,-17
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1UTWG0005,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1UTWG0005,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1UTWG0015,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1UTWG0015,0
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00427516,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00427516,0
",,7,0800",SNWD,2018-01-03T00:00:00,GHCND:USC00427516,0
",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00427516,122
",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00427516,-17
",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00427516,-17
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1UTWG0015,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1UTWG0015,0
",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00427516,0
