attributes,datatype,date,station,value
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0010,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0112,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLHB0112,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0006,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0009,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0016,15
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0017,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0033,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLPN0033,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0034,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0035,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0047,15
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0053,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0060,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0072,8
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0074,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLPN0074,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0077,23
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0079,13
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLPN0079,0
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00012842,49
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00012842,8
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00012842,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00012842,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00012842,152
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00012842,189
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00012842,50
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00012842,20
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00012842,10
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00012842,103
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00012842,148
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00012842,1
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00012842,1
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00012873,54
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00012873,10
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00012873,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00012873,0
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00012873,183
",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00012873,50
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00012873,30
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00012873,30
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00012873,107
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00012873,148
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00012873,1
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00012873,1
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00092806,62
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00092806,3
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00092806,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00092806,0
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00092806,189
",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00092806,61
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00092806,40
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00092806,30
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00092806,134
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00092806,157
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00092806,1
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0010,8
