attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASJ0005,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASJ0005,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASJ0006,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASJ0006,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CASJ0011,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1CASJ0011,0
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00023237,8
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00023237,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00023237,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00023237,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00023237,90
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00023237,183
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00023237,17
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00023237,120
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00023237,280
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00023237,31
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00023237,45
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00023237,1
",,W,",WT02,2018-01-01T00:00:00,GHCND:USW00023237,1
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00023237,1
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CASJ0005,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CASJ0005,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CASJ0006,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CASJ0006,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CASJ0011,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1CASJ0011,0
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00023237,13
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00023237,0
",,H,",SNOW,2018-01-02T00:00:00,GHCND:USW00023237,0
",,H,",SNWD,2018-01-02T00:00:00,GHCND:USW00023237,0
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00023237,104
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00023237,172
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00023237,61
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00023237,250
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00023237,90
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00023237,36
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00023237,40
",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00023237,1
",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00023237,1
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1CASJ0005,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1CASJ0005,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1CASJ0006,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1CASJ0006,0
