attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYOG0002,13
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYOG0002,18
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYOG0002,178
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYOG0006,28
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYOG0006,102
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYOG0010,38
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYOG0010,178
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYOG0012,13
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYOG0012,25
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYOG0012,267
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYOG0046,20
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYOG0046,23
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYOG0046,267
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1NYOG0046,20
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYOG0052,10
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYOG0052,8
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYOG0062,28
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYOG0062,38
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYOG0062,216
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NYOG0066,20
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NYOG0066,152
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014771,34
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014771,15
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014771,71
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014771,180
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014771,-175
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014771,-99
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014771,-260
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014771,260
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014771,250
