attributes,datatype,date,station,value
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0005,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0010,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0026,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0027,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLHB0027,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0029,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLHB0029,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0037,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0040,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLHB0040,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0048,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0051,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLHB0051,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0055,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLHB0055,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0093,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLHB0093,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0112,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLHB0112,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLHB0116,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0016,15
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0033,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLPN0033,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0034,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0036,13
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0047,15
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0060,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0071,18
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0072,8
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1FLPN0079,13
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1FLPN0079,0
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00088824,43
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00088824,178
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00088824,39
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00088824,39
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00012842,49
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00012842,8
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00012842,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00012842,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00012842,152
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00012842,189
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00012842,50
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00012842,20
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00012842,10
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00012842,103
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00012842,148
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00012842,1
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00012842,1
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00012873,54
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00012873,10
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00012873,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00012873,0
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00012873,183
",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00012873,50
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00012873,30
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00012873,30
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00012873,107
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00012873,148
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00012873,1
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00012873,1
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0005,3
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0010,8
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0026,8
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0027,5
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0029,5
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0037,5
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0040,3
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0048,5
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLHB0048,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0051,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLHB0051,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0055,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLHB0055,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0093,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLHB0093,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0112,5
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLHB0116,3
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0016,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0033,3
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0034,3
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLPN0034,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0036,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1FLPN0036,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0047,3
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0049,10
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0060,3
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0071,8
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0072,5
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1FLPN0079,3
",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00088824,0
",,7,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00088824,111
",,7,2400",TMIN,2018-01-02T00:00:00,GHCND:USC00088824,33
",,7,2400",TOBS,2018-01-02T00:00:00,GHCND:USC00088824,67
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00012842,63
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00012842,0
",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00012842,0
",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00012842,0
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00012842,73
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00012842,133
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00012842,44
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00012842,40
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00012842,20
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00012842,94
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00012842,125
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00012873,72
",,W,",PRCP,2018-01-02T00:00:00,GHCND:USW00012873,0
",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00012873,0
",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00012873,0
",,W,",TMAX,2018-01-02T00:00:00,GHCND:USW00012873,128
",,W,",TMIN,2018-01-02T00:00:00,GHCND:USW00012873,44
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00012873,30
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00012873,20
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00012873,98
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00012873,139
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLHB0005,132
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLHB0010,137
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLHB0026,71
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLHB0027,102
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLHB0029,157
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLHB0036,132
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLHB0037,94
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1FLHB0040,102
