,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKOS0012,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKOS0012,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKRG0005,0
3,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKRG0005,0
4,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0014,0
5,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0014,0
6,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0023,0
7,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0028,0
8,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0028,0
9,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0029,0
10,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0029,0
11,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0030,0
12,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0032,0
13,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0034,0
14,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0034,0
15,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0035,0
16,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0035,0
17,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0039,0
18,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0039,0
19,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0040,0
20,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0042,0
21,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0042,0
22,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1OKTL0042,0
23,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0048,0
24,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0048,0
25,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0049,0
26,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0052,0
27,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0053,0
28,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0053,0
29,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0058,0
30,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0058,0
31,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKTL0066,0
32,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKTL0066,0
33,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1OKWG0009,0
34,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1OKWG0009,0
35,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013968,37
36,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013968,0
37,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00013968,0
38,",,W,2400",SNWD,2018-01-01T00:00:00,GHCND:USW00013968,0
39,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00013968,-116
40,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013968,-71
41,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013968,-160
42,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013968,10
43,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013968,360
44,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013968,72
45,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013968,85
46,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00053908,36
