,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXCHK001,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TXCHK001,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXSM0016,0
3,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXSM0021,5
4,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXSM0023,0
5,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TXSM0023,0
6,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXSM0024,0
7,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXSM0025,0
8,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXSM0026,0
9,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00415221,0
10,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00415221,0
11,",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00415221,0
12,",,7,1830",PRCP,2018-01-01T00:00:00,GHCND:USC00419207,0
13,",,7,1830",TMAX,2018-01-01T00:00:00,GHCND:USC00419207,-6
14,",,7,1830",TMIN,2018-01-01T00:00:00,GHCND:USC00419207,-72
15,",,7,1830",TOBS,2018-01-01T00:00:00,GHCND:USC00419207,-28
16,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013972,44
17,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013972,0
18,",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00013972,0
19,",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00013972,0
20,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013972,6
21,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013972,-71
22,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013972,20
23,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013972,10
24,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013972,72
25,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013972,89
26,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXCHK001,0
27,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1TXCHK001,0
28,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXSM0016,0
29,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXSM0021,0
30,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXSM0022,0
31,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXSM0023,0
32,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1TXSM0023,0
33,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXSM0024,0
34,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXSM0025,0
35,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXSM0026,0
36,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00415221,0
37,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00415221,0
38,",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00415221,0
39,",,7,1830",PRCP,2018-01-02T00:00:00,GHCND:USC00419207,0
40,",,7,1830",TMAX,2018-01-02T00:00:00,GHCND:USC00419207,-22
41,",,7,1830",TMIN,2018-01-02T00:00:00,GHCND:USC00419207,-72
42,",,7,1830",TOBS,2018-01-02T00:00:00,GHCND:USC00419207,-33
43,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00013972,34
44,",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00013972,0
45,",,H,",SNOW,2018-01-02T00:00:00,GHCND:USW00013972,0
46,",,H,",SNWD,2018-01-02T00:00:00,GHCND:USW00013972,0
47,",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00013972,-21
48,",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00013972,-66
49,",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00013972,80
50,",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00013972,80
51,",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00013972,67
52,",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00013972,81
53,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXCHK001,0
54,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1TXCHK001,0
55,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXSM0016,0
56,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXSM0021,0
57,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXSM0022,0
58,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXSM0023,0
59,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1TXSM0023,0
60,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXSM0025,0
61,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1TXSM0025,0
62,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXSM0026,0
63,",,7,0700",PRCP,2018-01-03T00:00:00,GHCND:USC00415221,0
64,",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00415221,0
65,",,7,0700",SNWD,2018-01-03T00:00:00,GHCND:USC00415221,0
66,",,7,1830",PRCP,2018-01-03T00:00:00,GHCND:USC00419207,0
67,",,7,1830",TMAX,2018-01-03T00:00:00,GHCND:USC00419207,72
68,",,7,1830",TMIN,2018-01-03T00:00:00,GHCND:USC00419207,-78
69,",,7,1830",TOBS,2018-01-03T00:00:00,GHCND:USC00419207,44
70,",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00013972,26
71,",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00013972,0
72,",,H,",SNOW,2018-01-03T00:00:00,GHCND:USW00013972,0
73,",,H,",SNWD,2018-01-03T00:00:00,GHCND:USW00013972,0
74,",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00013972,83
75,",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00013972,-82
76,",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00013972,320
77,",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00013972,320
78,",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00013972,63
79,",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00013972,85
80,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXCHK001,0
81,",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1TXCHK001,0
82,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXSM0016,0
83,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXSM0021,0
84,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXSM0023,0
85,",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1TXSM0023,0
86,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXSM0024,0
87,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXSM0025,0
88,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXSM0026,0
89,",,7,0700",PRCP,2018-01-04T00:00:00,GHCND:USC00415221,0
90,",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00415221,0
91,",,7,0700",SNWD,2018-01-04T00:00:00,GHCND:USC00415221,0
92,",,7,1830",PRCP,2018-01-04T00:00:00,GHCND:USC00419207,0
93,",,7,1830",TMAX,2018-01-04T00:00:00,GHCND:USC00419207,94
94,",,7,1830",TMIN,2018-01-04T00:00:00,GHCND:USC00419207,-56
95,",,7,1830",TOBS,2018-01-04T00:00:00,GHCND:USC00419207,61
96,",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00013972,8
97,",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00013972,0
98,",,H,",SNOW,2018-01-04T00:00:00,GHCND:USW00013972,0
99,",,H,",SNWD,2018-01-04T00:00:00,GHCND:USW00013972,0
100,",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00013972,100
101,",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00013972,-55
102,",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00013972,320
103,",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00013972,320
104,",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00013972,36
105,",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00013972,45
106,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXCHK001,0
107,",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1TXCHK001,0
108,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXSM0016,0
109,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXSM0021,0
110,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXSM0022,0
111,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXSM0023,0
112,",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1TXSM0023,0
113,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXSM0024,0
114,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXSM0025,0
115,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXSM0026,0
116,",,7,0700",PRCP,2018-01-05T00:00:00,GHCND:USC00415221,0
117,",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00415221,0
118,",,7,0700",SNWD,2018-01-05T00:00:00,GHCND:USC00415221,0
119,",,7,1830",PRCP,2018-01-05T00:00:00,GHCND:USC00419207,0
120,",,7,1830",TMAX,2018-01-05T00:00:00,GHCND:USC00419207,139
121,",,7,1830",TMIN,2018-01-05T00:00:00,GHCND:USC00419207,-22
122,",,7,1830",TOBS,2018-01-05T00:00:00,GHCND:USC00419207,94
123,",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00013972,31
124,",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00013972,0
125,",,H,",SNOW,2018-01-05T00:00:00,GHCND:USW00013972,0
126,",,H,",SNWD,2018-01-05T00:00:00,GHCND:USW00013972,0
127,",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00013972,144
128,",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00013972,-27
129,",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00013972,180
130,",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00013972,200
131,",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00013972,63
132,",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00013972,76
133,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXCHK001,0
134,",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1TXCHK001,0
135,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXSM0016,0
136,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXSM0021,0
137,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXSM0022,0
138,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXSM0023,0
139,",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1TXSM0023,0
140,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXSM0024,0
141,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXSM0025,0
142,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXSM0026,0
143,",,7,0700",PRCP,2018-01-06T00:00:00,GHCND:USC00415221,0
144,",,7,",SNOW,2018-01-06T00:00:00,GHCND:USC00415221,0
145,",,7,0700",SNWD,2018-01-06T00:00:00,GHCND:USC00415221,0
146,",,7,1830",PRCP,2018-01-06T00:00:00,GHCND:USC00419207,0
147,",,7,1830",TMAX,2018-01-06T00:00:00,GHCND:USC00419207,156
148,",,7,1830",TMIN,2018-01-06T00:00:00,GHCND:USC00419207,-11
149,",,7,1830",TOBS,2018-01-06T00:00:00,GHCND:USC00419207,122
150,",,W,",AWND,2018-01-06T00:00:00,GHCND:USW00013972,36
151,",,W,2400",PRCP,2018-01-06T00:00:00,GHCND:USW00013972,0
152,",,H,",SNOW,2018-01-06T00:00:00,GHCND:USW00013972,0
153,",,H,",SNWD,2018-01-06T00:00:00,GHCND:USW00013972,0
154,",,W,2400",TMAX,2018-01-06T00:00:00,GHCND:USW00013972,167
155,",,W,2400",TMIN,2018-01-06T00:00:00,GHCND:USW00013972,-5
156,",,W,",WDF2,2018-01-06T00:00:00,GHCND:USW00013972,150
157,",,W,",WDF5,2018-01-06T00:00:00,GHCND:USW00013972,140
158,",,W,",WSF2,2018-01-06T00:00:00,GHCND:USW00013972,76
159,",,W,",WSF5,2018-01-06T00:00:00,GHCND:USW00013972,98
160,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXCHK001,0
161,",,N,",SNOW,2018-01-07T00:00:00,GHCND:US1TXCHK001,0
162,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXSM0016,0
163,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXSM0021,0
164,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXSM0022,0
165,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXSM0023,0
166,",,N,",SNOW,2018-01-07T00:00:00,GHCND:US1TXSM0023,0
167,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXSM0025,0
168,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXSM0026,0
169,",,7,0700",PRCP,2018-01-07T00:00:00,GHCND:USC00415221,0
170,",,7,",SNOW,2018-01-07T00:00:00,GHCND:USC00415221,0
171,",,7,0700",SNWD,2018-01-07T00:00:00,GHCND:USC00415221,0
172,",,7,",WT03,2018-01-07T00:00:00,GHCND:USC00415221,1
173,",,7,1830",PRCP,2018-01-07T00:00:00,GHCND:USC00419207,25
174,",,7,",SNOW,2018-01-07T00:00:00,GHCND:USC00419207,0
175,",,7,1830",SNWD,2018-01-07T00:00:00,GHCND:USC00419207,0
176,",,7,1830",TMAX,2018-01-07T00:00:00,GHCND:USC00419207,156
177,",,7,1830",TMIN,2018-01-07T00:00:00,GHCND:USC00419207,72
178,",,7,1830",TOBS,2018-01-07T00:00:00,GHCND:USC00419207,139
179,",,W,",AWND,2018-01-07T00:00:00,GHCND:USW00013972,45
180,",,W,2400",PRCP,2018-01-07T00:00:00,GHCND:USW00013972,147
181,",,H,",SNOW,2018-01-07T00:00:00,GHCND:USW00013972,0
182,",,H,",SNWD,2018-01-07T00:00:00,GHCND:USW00013972,0
