attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NYJF0032,0
",,7,0630",PRCP,2018-01-01T00:00:00,GHCND:USC00303961,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00303961,0
",,7,0630",SNWD,2018-01-01T00:00:00,GHCND:USC00303961,610
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00309000,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00309000,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00309000,203
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00309000,-183
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00309000,-300
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00309000,-300
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00094790,20
"T,,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00094790,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00094790,-143
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00094790,-360
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00094790,270
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00094790,260
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00094790,54
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00094790,67
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00094790,1
",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00094790,1
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NYJF0030,152
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NYJF0030,1008
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NYJF0032,0
",,7,0630",PRCP,2018-01-02T00:00:00,GHCND:USC00303961,23
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00303961,41
",,7,0630",SNWD,2018-01-02T00:00:00,GHCND:USC00303961,610
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00309000,3
"T,,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00309000,0
",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00309000,203
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00309000,-133
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00309000,-306
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00309000,-200
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00094790,58
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00094790,20
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00094790,-43
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00094790,-293
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00094790,260
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00094790,260
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00094790,148
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00094790,219
",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00094790,1
",,W,",WT02,2018-01-02T00:00:00,GHCND:USW00094790,1
",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00094790,1
",,W,",WT09,2018-01-02T00:00:00,GHCND:USW00094790,1
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1NYJF0030,66
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1NYJF0030,102
",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1NYJF0030,1024
",,N,",WESD,2018-01-03T00:00:00,GHCND:US1NYJF0030,658
",,N,",WESF,2018-01-03T00:00:00,GHCND:US1NYJF0030,66
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1NYJF0032,30
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1NYJF0032,64
",,7,0630",PRCP,2018-01-03T00:00:00,GHCND:USC00303961,178
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00303961,467
",,7,0630",SNWD,2018-01-03T00:00:00,GHCND:USC00303961,991
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00309000,30
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00309000,229
",,7,0800",SNWD,2018-01-03T00:00:00,GHCND:USC00309000,229
",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00309000,-50
",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00309000,-200
",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00309000,-106
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00094790,42
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00094790,10
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00094790,-43
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00094790,-105
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00094790,200
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00094790,210
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00094790,89
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00094790,125
",,W,",WT01,2018-01-03T00:00:00,GHCND:USW00094790,1
",,W,",WT02,2018-01-03T00:00:00,GHCND:USW00094790,1
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1NYJF0011,3
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1NYJF0011,5
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1NYJF0011,457
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1NYJF0030,33
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1NYJF0030,51
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1NYJF0030,1074
",,N,",WESD,2018-01-04T00:00:00,GHCND:US1NYJF0030,691
",,N,",WESF,2018-01-04T00:00:00,GHCND:US1NYJF0030,33
"T,,N,",PRCP,2018-01-04T00:00:00,GHCND:US1NYJF0032,0
"T,,N,",SNOW,2018-01-04T00:00:00,GHCND:US1NYJF0032,0
"T,,7,0630",PRCP,2018-01-04T00:00:00,GHCND:USC00303961,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00303961,3
",,7,0630",SNWD,2018-01-04T00:00:00,GHCND:USC00303961,940
",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00309000,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00309000,0
",,7,0800",SNWD,2018-01-04T00:00:00,GHCND:USC00309000,203
",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00309000,-56
",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00309000,-111
",,7,0800",TOBS,2018-01-04T00:00:00,GHCND:USC00309000,-89
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00094790,39
",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00094790,13
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00094790,-55
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00094790,-166
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00094790,340
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00094790,320
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00094790,94
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00094790,112
",,W,",WT01,2018-01-04T00:00:00,GHCND:USW00094790,1
",,W,",WT08,2018-01-04T00:00:00,GHCND:USW00094790,1
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1NYJF0030,33
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1NYJF0030,51
",,N,",SNWD,2018-01-05T00:00:00,GHCND:US1NYJF0030,1125
",,N,",WESD,2018-01-05T00:00:00,GHCND:US1NYJF0030,724
",,N,",WESF,2018-01-05T00:00:00,GHCND:US1NYJF0030,33
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1NYJF0032,28
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1NYJF0032,58
",,7,0630",PRCP,2018-01-05T00:00:00,GHCND:USC00303961,36
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00303961,135
",,7,0630",SNWD,2018-01-05T00:00:00,GHCND:USC00303961,889
",,7,0800",PRCP,2018-01-05T00:00:00,GHCND:USC00309000,23
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00309000,64
",,7,0800",SNWD,2018-01-05T00:00:00,GHCND:USC00309000,254
",,7,0800",TMAX,2018-01-05T00:00:00,GHCND:USC00309000,-72
",,7,0800",TMIN,2018-01-05T00:00:00,GHCND:USC00309000,-217
",,7,0800",TOBS,2018-01-05T00:00:00,GHCND:USC00309000,-217
",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00094790,60
",,W,",PGTM,2018-01-05T00:00:00,GHCND:USW00094790,2210
",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00094790,13
",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00094790,-166
",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00094790,-216
",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00094790,280
",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00094790,270
",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00094790,94
",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00094790,116
"T,,N,",PRCP,2018-01-06T00:00:00,GHCND:US1NYJF0032,0
"T,,N,",SNOW,2018-01-06T00:00:00,GHCND:US1NYJF0032,0
",,7,0630",PRCP,2018-01-06T00:00:00,GHCND:USC00303961,23
",,7,",SNOW,2018-01-06T00:00:00,GHCND:USC00303961,23
