,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXAC0009,0
1,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXWT0015,0
2,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TXWT0015,0
3,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXWT0019,0
4,",,7,",PRCP,2018-01-01T00:00:00,GHCND:USC00419723,0
5,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00419723,0
6,",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00419723,0
7,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013966,51
8,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013966,0
9,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00013966,0
10,",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00013966,0
11,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00013966,-86
12,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013966,-38
13,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013966,-121
14,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013966,30
15,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013966,30
16,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013966,94
17,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013966,112
18,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXAC0009,0
19,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXWT0015,0
20,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1TXWT0015,0
21,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXWT0019,0
22,",,7,",PRCP,2018-01-02T00:00:00,GHCND:USC00419723,0
23,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00419723,0
24,",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00419723,0
25,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00013966,26
26,",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00013966,0
27,",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00013966,0
28,",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00013966,0
29,"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00013966,-78
30,",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00013966,-38
31,",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00013966,-110
32,",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00013966,360
33,",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00013966,350
34,",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00013966,45
35,",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00013966,67
36,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXAC0009,0
37,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXWT0015,0
38,",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1TXWT0015,0
39,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXWT0018,0
40,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXWT0019,0
41,",,7,",PRCP,2018-01-03T00:00:00,GHCND:USC00419723,0
42,",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00419723,0
43,",,7,",SNWD,2018-01-03T00:00:00,GHCND:USC00419723,0
44,",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00013966,37
45,",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00013966,0
46,",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00013966,0
47,",,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00013966,0
48,"H,,S,",TAVG,2018-01-03T00:00:00,GHCND:USW00013966,-38
49,",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00013966,106
50,",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00013966,-110
51,",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00013966,310
52,",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00013966,310
53,",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00013966,76
54,",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00013966,98
55,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXAC0009,0
56,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXWT0015,0
57,",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1TXWT0015,0
58,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1TXWT0019,0
59,",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1TXWT0019,0
60,",,7,",PRCP,2018-01-04T00:00:00,GHCND:USC00419723,0
61,",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00419723,0
62,",,7,",SNWD,2018-01-04T00:00:00,GHCND:USC00419723,0
63,",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00013966,34
64,",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00013966,0
65,",,W,",SNOW,2018-01-04T00:00:00,GHCND:USW00013966,0
66,",,W,",SNWD,2018-01-04T00:00:00,GHCND:USW00013966,0
67,"H,,S,",TAVG,2018-01-04T00:00:00,GHCND:USW00013966,11
68,",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00013966,94
69,",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00013966,-60
70,",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00013966,150
71,",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00013966,130
72,",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00013966,67
73,",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00013966,81
74,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXAC0009,0
75,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXWT0015,0
76,",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1TXWT0015,0
77,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1TXWT0019,0
78,",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1TXWT0019,0
79,",,7,",PRCP,2018-01-05T00:00:00,GHCND:USC00419723,0
80,",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00013966,19
81,",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00013966,0
82,",,W,",SNOW,2018-01-05T00:00:00,GHCND:USW00013966,0
83,",,W,",SNWD,2018-01-05T00:00:00,GHCND:USW00013966,0
84,"H,,S,",TAVG,2018-01-05T00:00:00,GHCND:USW00013966,27
85,",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00013966,150
86,",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00013966,-60
87,",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00013966,190
88,",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00013966,210
89,",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00013966,54
90,",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00013966,72
91,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXAC0009,0
92,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXWT0015,0
93,",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1TXWT0015,0
94,",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1TXWT0019,0
95,",,7,",PRCP,2018-01-06T00:00:00,GHCND:USC00419723,0
96,",,W,",AWND,2018-01-06T00:00:00,GHCND:USW00013966,39
97,",,W,2400",PRCP,2018-01-06T00:00:00,GHCND:USW00013966,0
98,",,W,",SNOW,2018-01-06T00:00:00,GHCND:USW00013966,0
99,",,W,",SNWD,2018-01-06T00:00:00,GHCND:USW00013966,0
100,"H,,S,",TAVG,2018-01-06T00:00:00,GHCND:USW00013966,52
101,",,W,2400",TMAX,2018-01-06T00:00:00,GHCND:USW00013966,178
102,",,W,2400",TMIN,2018-01-06T00:00:00,GHCND:USW00013966,-38
103,",,W,",WDF2,2018-01-06T00:00:00,GHCND:USW00013966,160
104,",,W,",WDF5,2018-01-06T00:00:00,GHCND:USW00013966,150
105,",,W,",WSF2,2018-01-06T00:00:00,GHCND:USW00013966,94
106,",,W,",WSF5,2018-01-06T00:00:00,GHCND:USW00013966,112
107,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXAC0009,0
108,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXWT0015,0
109,",,N,",SNOW,2018-01-07T00:00:00,GHCND:US1TXWT0015,0
110,",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1TXWT0019,0
111,",,N,",SNOW,2018-01-07T00:00:00,GHCND:US1TXWT0019,0
112,",,7,",PRCP,2018-01-07T00:00:00,GHCND:USC00419723,0
113,",,7,",SNOW,2018-01-07T00:00:00,GHCND:USC00419723,0
114,",,7,",SNWD,2018-01-07T00:00:00,GHCND:USC00419723,0
115,",,W,",AWND,2018-01-07T00:00:00,GHCND:USW00013966,70
116,",,W,2400",PRCP,2018-01-07T00:00:00,GHCND:USW00013966,3
117,",,W,",SNOW,2018-01-07T00:00:00,GHCND:USW00013966,0
118,",,W,",SNWD,2018-01-07T00:00:00,GHCND:USW00013966,0
119,"H,,S,",TAVG,2018-01-07T00:00:00,GHCND:USW00013966,130
120,",,W,2400",TMAX,2018-01-07T00:00:00,GHCND:USW00013966,183
121,",,W,2400",TMIN,2018-01-07T00:00:00,GHCND:USW00013966,56
122,",,W,",WDF2,2018-01-07T00:00:00,GHCND:USW00013966,330
123,",,W,",WDF5,2018-01-07T00:00:00,GHCND:USW00013966,330
124,",,W,",WSF2,2018-01-07T00:00:00,GHCND:USW00013966,116
125,",,W,",WSF5,2018-01-07T00:00:00,GHCND:USW00013966,143
126,"T,,N,",PRCP,2018-01-08T00:00:00,GHCND:US1TXAC0009,0
127,"T,,N,",PRCP,2018-01-08T00:00:00,GHCND:US1TXWT0015,0
128,"T,,N,",PRCP,2018-01-08T00:00:00,GHCND:US1TXWT0019,0
129,",,7,",PRCP,2018-01-08T00:00:00,GHCND:USC00419723,0
130,",,7,",SNOW,2018-01-08T00:00:00,GHCND:USC00419723,0
131,",,7,",SNWD,2018-01-08T00:00:00,GHCND:USC00419723,0
132,",,W,",AWND,2018-01-08T00:00:00,GHCND:USW00013966,38
133,",,W,2400",PRCP,2018-01-08T00:00:00,GHCND:USW00013966,0
134,",,W,",SNOW,2018-01-08T00:00:00,GHCND:USW00013966,0
135,",,W,",SNWD,2018-01-08T00:00:00,GHCND:USW00013966,0
136,"H,,S,",TAVG,2018-01-08T00:00:00,GHCND:USW00013966,78
137,",,W,2400",TMAX,2018-01-08T00:00:00,GHCND:USW00013966,161
138,",,W,2400",TMIN,2018-01-08T00:00:00,GHCND:USW00013966,11
139,",,W,",WDF2,2018-01-08T00:00:00,GHCND:USW00013966,30
140,",,W,",WDF5,2018-01-08T00:00:00,GHCND:USW00013966,30
141,",,W,",WSF2,2018-01-08T00:00:00,GHCND:USW00013966,81
142,",,W,",WSF5,2018-01-08T00:00:00,GHCND:USW00013966,94
143,",,N,",PRCP,2018-01-09T00:00:00,GHCND:US1TXAC0009,0
144,",,N,",PRCP,2018-01-09T00:00:00,GHCND:US1TXWT0015,0
145,",,N,",SNOW,2018-01-09T00:00:00,GHCND:US1TXWT0015,0
146,",,N,",PRCP,2018-01-09T00:00:00,GHCND:US1TXWT0018,0
147,",,N,",PRCP,2018-01-09T00:00:00,GHCND:US1TXWT0019,0
148,",,N,",SNOW,2018-01-09T00:00:00,GHCND:US1TXWT0019,0
149,",,7,",PRCP,2018-01-09T00:00:00,GHCND:USC00419723,0
150,",,7,",SNOW,2018-01-09T00:00:00,GHCND:USC00419723,0
151,",,7,",SNWD,2018-01-09T00:00:00,GHCND:USC00419723,0
152,",,W,",AWND,2018-01-09T00:00:00,GHCND:USW00013966,55
153,",,W,2400",PRCP,2018-01-09T00:00:00,GHCND:USW00013966,0
154,",,W,",SNOW,2018-01-09T00:00:00,GHCND:USW00013966,0
155,",,W,",SNWD,2018-01-09T00:00:00,GHCND:USW00013966,0
156,"H,,S,",TAVG,2018-01-09T00:00:00,GHCND:USW00013966,84
157,",,W,2400",TMAX,2018-01-09T00:00:00,GHCND:USW00013966,217
158,",,W,2400",TMIN,2018-01-09T00:00:00,GHCND:USW00013966,-10
159,",,W,",WDF2,2018-01-09T00:00:00,GHCND:USW00013966,160
160,",,W,",WDF5,2018-01-09T00:00:00,GHCND:USW00013966,190
161,",,W,",WSF2,2018-01-09T00:00:00,GHCND:USW00013966,98
162,",,W,",WSF5,2018-01-09T00:00:00,GHCND:USW00013966,125
163,",,N,",PRCP,2018-01-10T00:00:00,GHCND:US1TXWT0015,0
164,",,N,",SNOW,2018-01-10T00:00:00,GHCND:US1TXWT0015,0
165,",,N,",PRCP,2018-01-10T00:00:00,GHCND:US1TXWT0019,0
166,",,N,",SNOW,2018-01-10T00:00:00,GHCND:US1TXWT0019,0
167,",,7,",PRCP,2018-01-10T00:00:00,GHCND:USC00419723,0
168,",,7,",SNOW,2018-01-10T00:00:00,GHCND:USC00419723,0
169,",,7,",SNWD,2018-01-10T00:00:00,GHCND:USC00419723,0
170,",,W,",AWND,2018-01-10T00:00:00,GHCND:USW00013966,75
171,"T,,W,2400",PRCP,2018-01-10T00:00:00,GHCND:USW00013966,0
172,",,W,",SNOW,2018-01-10T00:00:00,GHCND:USW00013966,0
173,",,W,",SNWD,2018-01-10T00:00:00,GHCND:USW00013966,0
174,"H,,S,",TAVG,2018-01-10T00:00:00,GHCND:USW00013966,108
175,",,W,2400",TMAX,2018-01-10T00:00:00,GHCND:USW00013966,183
176,",,W,2400",TMIN,2018-01-10T00:00:00,GHCND:USW00013966,50
177,",,W,",WDF2,2018-01-10T00:00:00,GHCND:USW00013966,140
178,",,W,",WDF5,2018-01-10T00:00:00,GHCND:USW00013966,150
179,",,W,",WSF2,2018-01-10T00:00:00,GHCND:USW00013966,125
180,",,W,",WSF5,2018-01-10T00:00:00,GHCND:USW00013966,143
181,",,W,",WT01,2018-01-10T00:00:00,GHCND:USW00013966,1
182,",,W,",WT03,2018-01-10T00:00:00,GHCND:USW00013966,1
183,"T,,N,",PRCP,2018-01-11T00:00:00,GHCND:US1TXAC0009,0
184,"T,,N,",PRCP,2018-01-11T00:00:00,GHCND:US1TXWT0015,0
185,",,N,",PRCP,2018-01-11T00:00:00,GHCND:US1TXWT0018,0
186,"T,,N,",PRCP,2018-01-11T00:00:00,GHCND:US1TXWT0019,0
187,",,7,",PRCP,2018-01-11T00:00:00,GHCND:USC00419723,0
188,",,7,",SNOW,2018-01-11T00:00:00,GHCND:USC00419723,0
189,",,7,",SNWD,2018-01-11T00:00:00,GHCND:USC00419723,0
190,",,W,",AWND,2018-01-11T00:00:00,GHCND:USW00013966,89
191,",,W,2400",PRCP,2018-01-11T00:00:00,GHCND:USW00013966,0
192,",,W,",SNOW,2018-01-11T00:00:00,GHCND:USW00013966,0
193,",,W,",SNWD,2018-01-11T00:00:00,GHCND:USW00013966,0
194,"H,,S,",TAVG,2018-01-11T00:00:00,GHCND:USW00013966,83
195,",,W,2400",TMAX,2018-01-11T00:00:00,GHCND:USW00013966,122
