attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1PALY0002,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1PALY0002,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1PALY0002,25
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1PALY0002,0
"T,,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00369735,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00369735,0
",,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00369735,25
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00369735,-78
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00369735,-194
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00369735,-122
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014778,41
"T,,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014778,0
"T,,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014778,0
"T,,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014778,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014778,-117
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014778,-55
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014778,-160
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014778,290
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014778,320
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014778,89
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014778,121
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US1PALY0002,0
"T,,N,",SNOW,2018-01-02T00:00:00,GHCND:US1PALY0002,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1PALY0002,13
"T,,N,",WESF,2018-01-02T00:00:00,GHCND:US1PALY0002,0
",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00369735,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00369735,0
",,7,2400",SNWD,2018-01-02T00:00:00,GHCND:USC00369735,25
",,7,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00369735,-61
",,7,2400",TMIN,2018-01-02T00:00:00,GHCND:USC00369735,-133
",,7,2400",TOBS,2018-01-02T00:00:00,GHCND:USC00369735,-128
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00014778,56
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00014778,0
",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00014778,0
"T,,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00014778,0
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00014778,-77
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00014778,-38
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00014778,-99
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00014778,260
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00014778,270
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00014778,94
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00014778,112
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1PALY0002,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1PALY0002,0
",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1PALY0002,13
",,N,",WESF,2018-01-03T00:00:00,GHCND:US1PALY0002,0
",,7,2400",PRCP,2018-01-03T00:00:00,GHCND:USC00369735,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00369735,0
",,7,2400",SNWD,2018-01-03T00:00:00,GHCND:USC00369735,25
",,7,2400",TMAX,2018-01-03T00:00:00,GHCND:USC00369735,-39
",,7,2400",TMIN,2018-01-03T00:00:00,GHCND:USC00369735,-178
",,7,2400",TOBS,2018-01-03T00:00:00,GHCND:USC00369735,-94
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00014778,13
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00014778,0
",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00014778,0
"T,,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00014778,0
"H,,S,",TAVG,2018-01-03T00:00:00,GHCND:USW00014778,-94
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00014778,-55
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00014778,-143
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00014778,40
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00014778,150
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00014778,58
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00014778,76
"T,,N,",PRCP,2018-01-04T00:00:00,GHCND:US1PALY0002,0
"T,,N,",SNOW,2018-01-04T00:00:00,GHCND:US1PALY0002,0
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1PALY0002,13
"T,,N,",WESF,2018-01-04T00:00:00,GHCND:US1PALY0002,0
",,7,2400",PRCP,2018-01-04T00:00:00,GHCND:USC00369735,3
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00369735,3
",,7,2400",SNWD,2018-01-04T00:00:00,GHCND:USC00369735,25
",,7,2400",TMAX,2018-01-04T00:00:00,GHCND:USC00369735,-44
",,7,2400",TMIN,2018-01-04T00:00:00,GHCND:USC00369735,-122
",,7,2400",TOBS,2018-01-04T00:00:00,GHCND:USC00369735,-122
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00014778,58
"T,,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00014778,0
