"SYS_FIELD_NAME"," FIELD_DESC",
"YEAR","Year",
"QUARTER","Quarter (1-4)",
"MONTH","Month",
"DAY_OF_MONTH","Day of Month",
"DAY_OF_WEEK","Day of Week",
"FL_DATE","Flight Date (yyyymmdd)",
"CARRIER","Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique. For analysis, use the Unique Carrier Code.",
"TAIL_NUM","Tail Number",
"FL_NUM","Flight Number",
"ORIGIN_AIRPORT_ID","Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"ORIGIN_AIRPORT_SEQ_ID","Origin Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
"ORIGIN_CITY_MARKET_ID","Origin Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market.",
"ORIGIN","Origin Airport",
"DEST_AIRPORT_ID","Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"DEST_AIRPORT_SEQ_ID","Destination Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
"DEST_CITY_MARKET_ID","Destination Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market.",
"DEST","Destination Airport",
"CRS_DEP_TIME","CRS Departure Time (local time: hhmm)",
"DEP_DELAY","Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.",
"CANCELLED","Cancelled Flight Indicator (1=Yes)",
"CANCELLATION_CODE","Specifies The Reason For Cancellation",
"DIVERTED","Diverted Flight Indicator (1=Yes)",
"CARRIER_DELAY","Carrier Delay, in Minutes",
"WEATHER_DELAY","Weather Delay, in Minutes",
"NAS_DELAY","National Air System Delay, in Minutes",
"SECURITY_DELAY","Security Delay, in Minutes",
"LATE_AIRCRAFT_DELAY","Late Aircraft Delay, in Minutes",
